Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,77.81151247024536,0.2593717082341512,23394738.645487443,27441842.879112974,4047104.233625531,25560992.966148667,25562523.930729255,0.0
2,77.54450917243958,0.25848169724146525,23331627.72691024,27228552.605997413,3896924.8790871724,25899666.93930589,25964785.86538308,0.0
3,78.59794759750366,0.26199315865834555,23538844.58675933,27337999.90597922,3799155.319219891,26108566.147465855,26214565.246605344,0.0
