Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
116501927.04340164,136308442.82677555,126231058.75293447,126258995.81676146
118900222.65124705,133128286.83734725,126884831.41851684,127021150.15075395
117543874.2137842,134137993.3507737,127741192.2893051,127448767.5326546
117998437.28990796,137442729.10388827,128055456.59998706,128506015.10436386
119521458.60483518,135166080.5188306,128106866.59621915,128094214.9142192
121293240.45802392,138304280.8611566,128490742.38968289,128497283.6181763
121008113.1157051,133797504.89820138,128249453.34874651,128491451.79043457
122193905.61655939,134234605.94320676,128611555.28803223,128826157.3483909
122407366.13410407,135049406.55760106,129030155.61578338,128943948.09779373
124273721.91034652,136494764.22703433,129469761.5462055,129280082.54048899
123139087.4282963,136838698.4318859,130204232.63975435,130371673.16633601
123407722.43834955,140399290.01498014,130845547.99304695,131027713.63164681
122063586.15137598,137823587.11627036,129725376.88289347,129925191.98701158
125142175.30988534,135983573.96966287,129885566.7617448,130003037.92805515
123121750.68390319,139439983.63041124,130266737.85317189,129729233.04682094
121185859.23714504,139495819.5904948,129662061.92037468,129513629.81121218
120957240.4574631,137448173.03639784,129792173.94042164,129915737.74900427
121765916.05342026,138032049.581195,129905701.57439856,130482453.36545408
121757748.87084717,135845104.35416728,129575496.65272735,129794289.2593767
122986302.2652494,136859235.791866,129604586.51721796,129347909.6431371
122423150.14639863,136665880.48521492,129469387.44752884,129760053.62982646
123579415.70174761,135497806.3105892,129669013.80558948,129563321.4649769
122464011.77979486,139200189.18802324,130474986.89114389,130704163.19251749
124898741.01612023,135968233.9249109,130192302.57221332,130190886.730099
124311895.67858088,137149521.96708852,130586554.8581134,130888937.26343092
123381100.18772547,139063593.7456745,130572838.62227891,130567890.18565862
124985483.02454536,138847623.95637813,130536372.63266742,130272117.07001767
125192112.9467199,134038722.84955965,130295669.08810432,130053937.23477703
124244425.20120275,139217688.33731523,130794403.5611268,130631188.93081951
125505829.57323661,137916772.13324156,131039057.53608714,130920886.96987234
125436976.08241624,138272059.41710886,131439219.341239,131317959.14662942
125436976.08241624,138898197.5958043,131741371.48462309,131734085.11943513
123930680.42781971,137388493.10697207,131590013.71792352,131664812.75471205
123109446.49825275,135888943.07990298,131638849.28173938,131959548.1842951
125332505.06695436,136776656.8117834,131006976.87473342,130662644.28885084
125537183.75566505,137466881.26494938,131111482.08801967,130635409.66218862
124907514.48134758,139750869.77613267,131422687.46439749,131068643.5584854
124907514.48134758,137511974.98011813,131365457.08757074,130784622.70420223
125273743.193958,137860363.66032365,130894446.57783909,130731651.08121665
124728255.02434535,135125547.18761298,130623093.84675975,130699777.12355685
125408531.06143326,138989283.4877508,130820464.13798453,130747439.38122523
123325769.91136143,138586065.64680406,130443312.43215008,130648903.4700244
122130231.56267925,138122206.89843985,130911852.53009349,130899985.25684717
125455350.07152675,135036116.38699704,130909269.7339609,130956094.97531758
123270943.98562492,139164627.0761993,131047901.90235645,131052531.1324691
123270943.98562492,135265408.5067453,131244231.35888961,131400709.97969562
123270943.98562492,139044807.91820842,131345417.89362703,131395277.33880448
124318259.85684438,138315519.51785454,131360151.68464361,131223631.44542658
125827733.5822049,139126325.3430238,131618919.0584382,131517972.5350892
124588299.59676902,137828495.39323482,131606276.25417762,131637215.23463559
124588299.59676902,138159380.45227367,131188696.68578863,131280167.36123392
125275809.09363826,137096533.18958658,131623007.62253022,131717728.36763804
126638352.4493742,139035371.23080793,131677377.01412682,131787924.7838586
125440409.86179374,138266455.22930744,131598772.0605763,131750664.78988965
125440409.86179374,138140112.76282895,131570435.90432908,131706824.95075393
126446019.19338875,137570510.9539758,131377282.68866642,131750664.78988965
124886411.86056745,137719504.48930317,131472390.00909609,131413879.88784026
127439979.45317121,137167063.46257052,131543929.00179107,131333921.61094353
121285200.11754933,137737739.8542381,131493645.10428935,131582542.47424173
124718110.93323173,139052809.71445724,131714988.53884205,131633366.39949247
126209932.72339705,135068996.52761796,131842087.98646261,132104034.7449095
126862784.42780839,137333159.34490427,131587605.55706365,131669596.20967802
126775453.99532957,136054477.56049034,131649611.12759638,131717444.66902411
126775453.99532957,136136519.04967096,131439565.2466087,131492106.35566877
126445881.87834978,138234111.5822948,131745599.44778554,131560864.45302959
126287675.42257316,136117654.0224281,131459905.40879948,131635217.16099761
126496384.13399506,137577136.97377992,131325008.17391127,131550473.34063956
126826696.91138232,138378526.3910147,131652180.26605871,131651906.31275474
126977583.38585266,136619792.89488158,131754435.86554524,131952446.86227678
127250299.21726848,138896756.6842363,131719741.6497291,131952446.86227678
124121157.17217472,136957075.44693217,131633811.68768948,131829561.24885076
125192253.27224329,136799473.65412837,131716409.14860173,131878908.07808608
125192253.27224329,138644084.96512675,131836092.8130061,131724402.63103002
122607470.77483755,137140732.95944366,131485298.1051259,131890762.56129815
125274323.36157699,138364585.50844598,131638028.35067791,131986912.01129192
127241043.41145428,138004773.09542114,132137932.9418487,131941942.60838342
127470607.25602177,136674001.82021967,131909455.26773866,131941942.60838342
127470607.25602177,137633951.03197324,131698973.4584107,131916196.0686319
122708897.15599436,135880354.12689167,131418928.94631077,131782173.60270573
123519129.0622755,136312228.12995335,131995788.56064196,132083165.3705888
124625606.95313162,137074690.18810815,131714173.62551603,132083165.3705888
126121257.51779793,138804628.1687446,132002512.7967612,132108018.91220708
127039326.38223787,138727490.83200577,131963743.1997756,132090964.0228515
128451324.87783499,139321934.7386802,132473760.68411574,132394734.72375792
127341487.95324318,139536054.51527354,132283657.49522883,132284649.79403721
127205117.15399267,138018912.18249092,132501069.63202904,132414498.08920684
126650205.3621066,138056185.43840194,132079230.60264081,132234898.81166935
126650205.3621066,141914044.981043,132206573.48100421,132171141.63113114
128142268.62603094,138384020.07530656,132243054.49115211,132084491.61658937
125953248.64564599,141340285.15427992,132157100.57790735,131855636.04002157
126405142.9323551,139025705.79416332,132037343.8426037,131774467.65273023
126971879.8484367,139351592.67592928,132146060.690035,131842746.23869689
127447011.0892062,138756978.8270662,132037432.75123006,131702281.96863446
127862376.80021305,139903277.38290116,132231482.07962446,131981836.41966367
129039455.13337612,139691916.74295312,132148884.21871293,131978717.22849426
128558949.07108909,138982300.49377975,132415979.79146388,131877722.27056615
127920608.65381223,139253245.65237835,131990312.71082725,131866026.9615346
125944808.83922102,136475898.0109135,132261131.27709979,131964746.87403172
124332115.36058182,137718368.18882704,132236686.38626027,131987780.95366624
126218686.25195733,141322472.3036954,132339009.96381988,132238047.52090876
127626786.33364786,140960009.53250632,132343353.00471887,132238047.52090876
128132083.24969234,137742106.33655548,132552200.42761979,132516362.11000416
127863352.05941063,139135769.1574515,132623001.3815603,132651218.25022003
129282911.69501439,139262009.2991821,132361197.41254976,132413611.18234812
124960135.80745201,139394143.7936453,132744737.19079217,132677487.40047812
128777749.38626434,137033001.52362832,132297792.81823114,132413611.18234812
127363829.88030186,137878316.65272164,132389599.61638671,132413611.18234812
126943773.67392762,141208419.4613518,132586868.15294784,132407159.23157361
129875260.02377717,138686065.95075512,132999384.11899883,132617965.37441072
129256422.2531986,138665665.8724002,132603532.53572273,132413611.18234812
128197910.45661922,138241149.842004,132653143.89003003,132450247.90744658
128068582.9705515,137424938.96315446,132858054.29939541,132669630.59145416
130860859.87515824,137905611.65121308,133086882.1375077,132689293.73278031
130811439.46250522,136843234.07862476,132854133.23074543,132669630.59145416
131145295.62860146,138460611.74210858,132975268.71358727,132669630.59145416
130978897.98229288,141630375.4312998,132887786.78436318,132690011.07789561
130152931.39562425,136067409.527099,132850599.66559598,132802151.18909714
130152931.39562425,136762743.4979111,132962335.57716948,132835477.99248236
132456658.529368,135871688.1197862,133025072.54344669,132968161.67866589
131141267.12456335,137046977.37480932,133035243.33317639,132968161.67866589
132669630.59145416,137176948.06264094,133159588.5699566,133078286.28064461
132802151.18909714,136622610.54491478,133246375.18357545,133078286.28064461
131836617.68208945,137830743.74939555,133265416.92165376,133078286.28064461
