Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
23538844.58675933,26260823.929901373,24846295.43508667,24825707.87808345
23867100.68331135,26557766.856739037,25058650.9315707,25037360.200318366
23609518.950683467,26298419.713283636,25067297.581541613,25079941.6463542
23881741.464950956,26650807.96055868,25161691.144877847,25187047.29030515
24214130.114720102,26485103.227520347,25209358.559288766,25205601.031615578
24119854.52141471,26641588.782433722,25296457.104205478,25249356.216946736
23878972.020123035,26690376.60386846,25316347.208807237,25249860.25538621
23970335.089025944,26723195.060638607,25216748.205951307,25212487.110202305
24248183.18007436,26414381.893073343,25286005.890522793,25279886.16268404
24272793.810262125,26574768.466983885,25328590.640076637,25352326.287123997
24142018.502602343,26297188.226644307,25253249.238368556,25252143.328779176
24142018.502602343,26174636.777187336,25215169.537452176,25257570.047963127
24476904.744277395,26636137.69149243,25359304.11459213,25297403.530470558
24091955.272861417,27039904.349177737,25388884.243625674,25342007.95980534
24091955.272861417,26386863.717394277,25288322.576438956,25294081.413767546
24222003.75778185,26593698.142007098,25278595.372390453,25273916.640202373
24382108.46737851,26337232.73513144,25334038.99589065,25340590.022821493
24218960.562059853,26544144.64737236,25409846.00908754,25394849.908195734
24302918.023833018,26459027.923346996,25450757.43925898,25416464.479648292
24741855.388436172,26676580.797560297,25508780.313701704,25512007.775120616
24418095.972329266,26248651.170359086,25493283.0917197,25561587.033365097
24902943.62541282,26209669.938529406,25543346.201465156,25526744.387223553
24296647.425925028,26218367.918548062,25514536.265123162,25529252.93650715
24645829.518630017,26353317.166427463,25529243.75715403,25529769.02980996
24439742.157519713,26823684.559656065,25621314.044287093,25560539.67453422
24613868.28784301,26853773.406342506,25585601.20038112,25554768.989730135
24457475.96382412,26642580.00451353,25629239.545222625,25608363.28242328
24660207.930904694,26789462.310022887,25658876.98931682,25636291.493387938
24549928.134774726,26635686.287150424,25681626.351535592,25724931.297837995
24679894.318804555,26374858.11684325,25727122.84603783,25776425.781933136
24782657.635766685,26439432.905492563,25758171.594203737,25807672.215332415
24920141.751925196,26712161.837366067,25810240.226386793,25803406.179005176
24827026.98566685,26394963.868546482,25796949.97724801,25806720.783600066
24879457.912920225,26609463.262945004,25851619.5830929,25837006.48966334
25183365.89357546,26507738.21766704,25882373.28031108,25908744.13219674
24903429.187941827,26635758.395368807,25881405.330915753,25920469.71658336
24861104.556927446,26825924.944491014,25850151.742788777,25897426.683081854
24861104.556927446,27226981.03399279,25882805.316599067,25919692.590098478
24772354.630478058,26364558.394131202,25850063.19553157,25894883.55408938
25119111.57635387,26741275.95360889,25915831.860010292,25938798.160058133
25119111.57635387,27125194.017254446,25982012.373433977,25972462.994973093
25057173.492977813,27053552.875750188,25971791.85755413,26034030.55796156
24874927.097831342,26845066.580496475,25975891.051017452,26052793.594795775
24934917.273440927,26605817.728749096,25969279.86925662,26042132.288330697
25224016.93884499,26793550.36391076,25953720.26511749,25967132.26506795
24951268.797723316,26446655.013900906,25873502.22417865,25936797.60976672
25080618.10554517,27229664.31196952,25912344.475736972,25942821.245703254
25197923.461705267,26724429.857562777,25981622.98903785,26000463.9637555
25249010.45465171,27337999.90597922,25998152.972661436,25982746.346327737
25146527.15521532,26631967.256815493,25966456.724320374,25970415.809544165
25103685.321748428,26880802.113719452,25996371.963675343,25981707.933513306
24977553.92738424,26779221.784752972,26020360.5947369,25983243.716126814
25291541.143544573,26699435.754446503,25983883.61437739,25975432.934901815
24777050.593349863,27075359.878481817,26002634.350369487,26000463.9637555
24658055.55160937,27004107.83823315,25926715.904527534,25989560.45442113
25468262.184681144,26700329.023770474,25991877.91468749,26019605.26563885
25442583.329921365,26810465.6311468,26025937.290060945,26031723.262404222
25344096.545862496,26742030.217649914,26050032.118289866,26041875.901534162
25032892.375505634,26798950.794732228,26049669.054308105,26055703.835549943
25380263.227932695,26999791.115628865,26035712.618745793,26041875.901534162
25098554.285225052,27139813.849978913,26053054.257101066,26067465.660607435
25141260.187073022,26957310.059306443,25988840.38472368,26044412.53153432
25100301.17894668,26758704.06075986,25990043.92952374,26037382.246070854
25200860.13828577,26984464.77341191,25983562.725599214,26024698.13966929
25257547.671107315,27067523.130773664,26038424.485871885,26059918.827668842
24967106.55395174,26738100.19871191,25976300.303029887,26017113.764619466
25114094.090704847,26621114.118173633,25961568.460702516,25997407.3986699
25039229.086111367,27072712.11925606,26009174.971322965,26027638.227241497
24896264.740176633,27231642.05749227,26077786.15570464,26071642.47216833
25147549.523756087,26998201.704529643,26058629.242291957,26051380.34315288
25157203.221274525,27170049.823010128,25996020.846740846,26030826.307814255
25151630.60168021,26943843.10999696,26007694.51595977,26009510.68692689
25151630.60168021,27069452.5670598,25997579.276950087,26036016.545234412
25140348.946801156,26658266.389139123,25954184.986623116,25966714.48018872
25454062.489253197,26844028.091130354,25965478.35383901,25967480.212932713
25086492.991774544,26798061.47722732,25947627.35205478,25966429.61226292
25044719.858720966,27053540.974000264,25996679.20734369,26011714.465234466
