Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,171.6179883480072,0.572059961160024,116501927.04340164,143013283.9917069,26511356.948305264,132189576.14383988,132344934.83100638,0.0
2,171.67073893547058,0.5722357964515686,120076976.07493016,144904028.6062347,24827052.53130454,132576668.78879505,132631524.57726574,0.0
3,174.36586952209473,0.5812195650736491,117908847.24840713,145131406.63261482,27222559.384207696,134180519.0416081,134372010.2157616,0.0
