Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
117908847.24840713,136025497.78533292,128053657.43908082,128351423.8784822
120656643.36431699,136575263.44624922,128394985.37892106,128602094.72633024
120303199.7014082,137571763.97967628,129125324.07368386,128990737.61000423
122335571.9794174,136160006.55393162,129303185.54410748,129315779.65915732
124564389.71220641,137725015.47552776,129839940.15232034,129492755.89375155
122301747.83317748,140120100.23072737,130041465.43774548,129993206.88501817
123017221.58638968,137049438.6267137,130136567.53489079,130182730.03267619
123526207.39115739,137577246.52839455,129814373.76369078,129843526.50607805
122560618.07314722,135951369.10987985,129864040.30724496,129702651.33777678
122112288.9351074,136244727.46424437,129572300.54981212,129305879.61559013
121458066.21205646,137037939.68789932,130197262.00679722,130280418.08893421
120031198.6388683,136733575.6636622,129376166.73217513,129541612.98983571
121820037.90260425,137501860.669247,129855476.05743665,129515473.14294252
121742544.34256606,136684544.0766382,129796923.71891125,129812605.2489316
123731532.8542455,140452320.97675574,130076433.95082472,129697071.31275308
122560279.37944184,137388635.11582604,130226356.16499735,130449187.66775945
124639014.2204184,140526228.1820508,130477774.84388971,130403501.8764117
124156618.1416499,138521801.27899468,130736068.20194592,130839404.01748735
124355058.9246924,136638103.27117234,130500479.55726123,129959536.18505056
125517230.26795259,137967457.58337098,131031814.36503744,130957745.71574293
125718534.65037936,143278380.47602874,131226770.72648439,131414562.01068217
123310885.45512553,137965842.0688353,131582885.29065607,131882319.88658297
122589781.07133557,140171369.06706336,130998871.71959151,131269913.81262471
124338329.52780837,140679646.3923216,130814564.63201217,130605350.86381297
124938578.63271774,139491314.22940448,131392809.35518683,131370294.61699545
125414708.49636206,137564735.75574046,131255616.95113523,131358278.47236957
125811558.12088959,142317618.1106333,132003996.77121261,131752190.63379389
125436722.62724859,141137998.68725535,132091094.31763537,131874003.42057626
125724929.53524904,140456289.97739884,131994423.41132481,131808460.79105052
125804730.03528072,138442702.9534765,131901117.41902488,131946220.35528553
127337764.93481825,137586169.49796143,131812341.11311631,131704796.63701196
125671824.85074408,140030584.76100636,132364966.78762455,132186135.85973698
128003931.13444275,138520575.34556165,132412766.91363163,132231113.35254571
126200056.51408596,140913271.5329222,132843662.12260929,132695561.82947162
128269452.61706354,140970980.15027615,132596358.33579619,132060361.068304
127157661.88946895,139394814.82127887,132274428.20816822,132086850.36554654
128136845.38631555,139332811.064516,132553662.14299794,132480670.90660402
127189968.45316269,137844415.4605132,132431404.74614911,132438844.46145976
126627419.79265939,141682011.59089312,132297902.17855938,132227346.55777968
126954206.78562863,140784128.4772517,132654560.29463966,132225328.91897094
125527717.8606196,142112352.09772038,132631577.83661373,132170136.10673252
126714648.76176961,138748510.58560887,132832453.79254472,132924992.44540127
126820778.79774919,138831037.60196397,132839018.84557876,132653679.90702075
125267231.23505649,138301620.9660488,132677843.28186642,132572728.62798458
125052081.74673593,142428173.4007066,133118688.8885596,132863245.0318845
123039397.22234325,140828246.02171642,133087836.55261484,133085216.56681347
128648134.30694704,141578223.68593594,133407963.5142885,133148562.86246246
128889709.65425934,140965135.08023155,133314173.10804917,133078798.00795671
129211956.8970648,138898307.94377813,133842319.62821504,133566094.141265
126440275.12971348,140446096.1464221,133634656.47681873,133423066.64884168
125830649.05825405,141500089.7665998,133515090.74283496,133578070.63099152
125830649.05825405,141625592.7029104,133513123.56592016,133232391.01401672
127061542.41332813,145131406.63261482,133168099.40773639,133116999.91393198
128242821.45482077,138481034.1361544,133306363.89689305,133450358.56834997
127453121.55654436,140660884.8852064,133233356.50582054,133409381.92851423
125446145.86616853,140010333.48194292,133067191.48638038,132781114.2289345
125168766.01572518,143072864.95239043,132756892.50848903,132662797.05074134
126481661.86003602,139439566.91121754,132760784.27891101,132694209.6428603
127242179.33313732,140620301.68216795,133302408.01409946,132818649.27904356
126970948.42939955,139150277.87992904,133088130.48353854,132996014.70629458
125560073.81276637,139856768.20366865,133168973.20215932,133257337.45390032
127478734.85926792,139946132.82916516,132982491.91942057,133171759.32099326
127590022.71401212,139104067.2145077,132858051.3984033,133001402.48984013
127220949.20192187,144522952.750323,133494840.2589526,133349554.62269834
127505523.34780078,142226593.20462465,133337485.86056548,133300052.31787686
127431347.05431505,138613199.1496402,132759993.52048373,132966927.5149777
124818852.20698266,144615256.63900143,132746741.04231745,132988852.97295856
126009642.65299204,138903914.31496492,132610932.47041313,133021015.63640104
126392801.43467523,140346617.94182688,132338051.2526485,132714992.60074696
127439896.62720813,140359697.50195113,132664562.92289071,132804635.02285862
127439896.62720813,139837275.86969948,132682834.24246024,133016459.34418774
125491050.14050655,137844654.36137196,132518981.01906097,133026680.79221958
127250361.46668716,137393176.82585287,132653012.79332346,132994667.31974259
125137193.23552485,138726322.15617147,132835571.07891595,133040371.04711658
126216598.68985999,137583732.12739483,133079249.08507837,133277168.9351854
127543628.93219082,142570287.15761966,133278050.73789263,133463749.55412519
127291177.49521756,136768375.78655577,132597029.65564242,133040371.04711658
126410827.5356667,138159725.55442804,132965622.04871687,133091593.28452873
129093683.58587976,140963710.69082147,133052646.07472122,133229672.97789356
125652152.48088318,139810026.1846135,133364916.66800521,133548934.31708018
126977300.56600852,136867016.2901309,133428035.46932787,133655219.43144663
127382277.22671923,138802124.76056826,133535772.68762235,133819546.06996116
127382277.22671923,139784122.4517004,133572871.31436476,133773412.48736997
126312149.80138153,138665560.4635803,133778306.5281966,134041527.20032215
128450080.58424164,139118102.90461656,133776452.46400248,133729440.75204208
127170403.23613232,140245237.09891778,133706419.6919472,133550018.4723424
128256237.00386909,140622582.9691744,133826494.55968991,133626942.55872437
126991660.34246896,139185647.04006374,133678747.96316756,133688236.81039904
127290380.11117676,142551619.28810573,133365727.73931523,133354307.82856303
127508331.3852741,141210284.76119,133258087.55580002,133283570.44962205
126947926.40355961,138560349.19979146,133321859.86369435,133425201.10939084
127950281.79891077,139911444.5674834,133395084.53525321,133210688.77348655
127305329.16032156,139911444.5674834,133292373.49693565,132885101.90628639
127417020.17934391,139857319.2704258,133665584.75403132,133380345.43849161
126185040.88761888,140604115.4811279,133483078.50828364,133348003.32570949
126729976.37013456,139625610.42968798,133694809.35414334,133539032.95059592
125601759.85216312,140531608.8035248,133672664.15484913,133665291.90925622
126473808.19323158,139629930.2723577,133694376.35344967,133719741.64770417
127313732.28495587,138754429.7630516,133646107.79392402,133785627.68743446
130174561.45442054,138415609.038868,133814484.07307662,133886436.00556198
127984879.41555351,139799371.58502296,133595566.53792521,133597067.51984431
127984879.41555351,139443556.16369027,133093026.91666804,133359234.3950449
128194608.64917202,137704776.00804913,133118743.55113694,133299333.93273899
126668568.72170858,139906394.0353485,133767161.96734786,133830223.63667127
126840073.05598657,141152484.68772724,133550524.3456753,133511644.41834053
127943003.04388861,138334313.11327177,133246685.19009508,133167092.82943015
128463224.52261284,139879097.46108422,133563510.23206237,133465577.08267024
128327905.55672817,143048894.87769842,133793318.69904417,133654914.23536119
128327905.55672817,143199287.5846669,133673656.58712871,133704834.10019016
130083879.67741822,139001052.74523482,134235672.6212913,133928003.61290929
128522822.08933644,140501319.37958598,134017050.15699616,133867366.44168235
128751249.10070015,138757598.0256028,134107205.69692884,133907130.01569939
128595539.65877154,140266131.02617067,134049304.9011802,133978641.61688352
129056141.80536659,141278020.15781218,134425220.2028129,134235234.94039628
