k Value,r2 Value,Run Time
0,0.7538557265016517,9.784374475479126
1,0.8135287864531173,8.082725048065186
2,0.8664334799482093,8.362249374389648
3,0.8784065621433425,7.5377397537231445
4,0.8874132409245921,7.506957530975342
5,0.8929754045736478,7.1241185665130615
6,0.8976323058300907,7.652215957641602
7,0.8983950393535298,8.08360767364502
8,0.9009638964870499,8.004734754562378
9,0.9024937834852214,7.7301201820373535
10,0.9029949143046898,8.380391359329224
11,0.9028856638870449,8.532690525054932
12,0.9040532499174218,7.774940013885498
13,0.904204094630878,7.5907275676727295
14,0.9053628042016688,7.735588788986206
15,0.9051881007634683,7.753947496414185
16,0.90479543901272,7.738736629486084
17,0.9045061248778254,7.571399450302124
18,0.904225844100691,7.507491111755371
19,0.9040493247772516,7.497208595275879
20,0.9035450482111103,7.449134588241577
21,0.9041481050695603,7.431687355041504
22,0.9040199344020066,8.417900800704956
23,0.9039043328783877,9.005967617034912
24,0.903491810633424,7.704123497009277
25,0.9035491120374683,7.938706159591675
26,0.9034829093830032,8.619531631469727
27,0.9032420617226491,7.9571373462677
28,0.9034802983036692,7.922129154205322
29,0.9033143491532241,7.296473503112793
30,0.9028346474800802,8.437774658203125
31,0.9025816932968426,8.005054235458374
32,0.9022798093652913,7.8143932819366455
33,0.9019951890947979,7.630985736846924
34,0.9019702349494014,8.273397445678711
35,0.9018877028175447,8.634625673294067
36,0.9018945465870346,8.00254487991333
37,0.9017994594710687,7.602997303009033
38,0.901910180957577,7.919402837753296
39,0.901833087756441,8.0619535446167
40,0.9018349724259224,7.493740797042847
41,0.9018590062672794,7.247943162918091
42,0.9017365919559748,7.696062088012695
43,0.9016239206364367,8.049936294555664
44,0.9012698896681817,7.378257989883423
45,0.9011894178212372,7.270536422729492
46,0.9012643236776114,7.338599681854248
47,0.9009441554058317,7.473034858703613
48,0.9008789543353335,7.573589324951172
49,0.900454916711121,8.155572891235352
50,0.9001973025956002,8.380732536315918
51,0.9000958620451247,9.197174072265625
52,0.8999956519929564,8.277180194854736
53,0.8999099377766526,7.80928897857666
54,0.899773035815563,7.47548770904541
55,0.8996420162750882,8.26404070854187
56,0.8998276174154909,8.099884510040283
57,0.8995726189256394,8.165977954864502
58,0.8995485144811062,7.849328279495239
59,0.8992578689225065,7.561336040496826
60,0.8991835524087312,7.730650901794434
61,0.899158360179573,7.681591749191284
62,0.8990271485935137,7.922453165054321
63,0.8989169449750642,8.144723653793335
64,0.8988371966999652,8.176901578903198
65,0.8986830401432943,8.543638229370117
66,0.8985480306711927,8.047270774841309
67,0.8981863457185729,8.27055549621582
68,0.8979606762975391,7.282653093338013
69,0.8978578765712746,8.261614084243774
70,0.8978190428820327,7.657751798629761
71,0.8978294477357811,7.1894237995147705
72,0.8977598096319567,8.4551842212677
73,0.8975860680984279,7.117378234863281
74,0.8975410383246966,7.469502925872803
75,0.8973503038231259,7.427741765975952
76,0.8972535798033621,8.019193172454834
77,0.8969111889295521,7.98913311958313
78,0.8966239489522618,7.855494737625122
79,0.8965658909782525,7.085715055465698
80,0.8965633073341548,7.195690155029297
81,0.8965196577456431,7.97428035736084
82,0.8964178516588546,7.859357118606567
83,0.8963250771435111,7.377586126327515
84,0.8962500743600681,7.190530300140381
85,0.8960904862633151,7.543017625808716
86,0.8961430395006931,7.689928770065308
87,0.896059149898035,7.207013368606567
88,0.8960026998357555,7.249931335449219
89,0.8959066848722979,7.2122802734375
90,0.895808387905962,7.267531633377075
91,0.8956691771470623,8.813825368881226
92,0.8955981334770308,8.886250257492065
93,0.8954925742656386,7.806274890899658
94,0.8953921072635478,7.9170756340026855
95,0.8953294188810579,7.666809797286987
96,0.8952882693940829,7.508038282394409
97,0.8952153664909601,8.294983386993408
98,0.8951000091966969,8.626714706420898
99,0.8950466302060448,7.669838905334473
