k Value,r2 Value,Run Time
0,0.6596335802522308,4.176138639450073
1,0.760088786854825,2.4374871253967285
2,0.810465375963283,2.6319971084594727
3,0.83010367677772,2.450549602508545
4,0.8375003793496354,2.2690346240997314
5,0.8414657641990267,2.2549970149993896
6,0.8433748567736378,2.272077798843384
7,0.8439362919600398,2.299146890640259
8,0.8459786092109988,2.3592891693115234
9,0.8474465531160402,2.257024049758911
10,0.8485561758776058,2.305098056793213
11,0.8490994964577462,2.286120653152466
12,0.8490895489024992,2.5006308555603027
13,0.8494940592604621,2.3843626976013184
14,0.8493532588586793,2.2690560817718506
15,0.8496071744201014,2.419412136077881
16,0.8496430683593971,2.4014174938201904
17,0.8495370535534263,2.1918575763702393
18,0.848897264517345,2.206869602203369
19,0.849282320211011,2.2028279304504395
20,0.8488625231117524,2.2450032234191895
21,0.8491045405119293,2.3071792125701904
22,0.848424620834927,2.1877806186676025
23,0.8484811996131721,2.2339422702789307
24,0.8486498474680564,2.478591203689575
25,0.8487720254172465,2.21993088722229
26,0.8489040665488183,2.1988158226013184
27,0.848881234039632,2.297105312347412
28,0.8488396147129511,2.207904577255249
29,0.8482348693074226,2.206850051879883
30,0.8481808526811921,2.255018472671509
31,0.8485773884868544,2.1998863220214844
32,0.8480355952782179,2.2178826332092285
33,0.8479408128554777,2.235934019088745
34,0.8478130769351713,2.2509891986846924
35,0.8476862886140764,2.3502719402313232
36,0.847515769215694,2.235947847366333
37,0.8475294481829633,2.348231792449951
38,0.847403501270867,1.608276605606079
39,0.8470117981746248,1.6634607315063477
40,0.8465256692959036,1.749654769897461
41,0.8462555082373826,1.5791981220245361
42,0.8461019695687922,1.5521514415740967
43,0.8455464861633031,1.5370709896087646
44,0.8454140616230947,1.6444098949432373
45,0.8452918418891588,1.64634108543396
46,0.8449621103537465,1.5391249656677246
47,0.8447056140566702,1.5300471782684326
48,0.8445357522065537,1.4377872943878174
49,0.8444556256417306,1.4558629989624023
50,0.8443046981246604,1.5310378074645996
51,0.8442823432333904,1.516066074371338
52,0.8440245157920123,1.4518232345581055
53,0.8438155224614678,1.5270235538482666
54,0.843793325382142,1.5591456890106201
55,0.843610846201299,1.4588797092437744
56,0.8435688690272788,2.3793630599975586
57,0.8435678274818911,2.4705886840820312
58,0.8434228483584029,2.5588111877441406
59,0.8431693542453176,2.3793084621429443
60,0.8428681822478301,2.3232109546661377
61,0.8425879324505517,2.511631727218628
62,0.8422270205127858,2.413419246673584
63,0.8420923971419418,2.233938217163086
64,0.8418889161336045,2.228896141052246
65,0.8417403444476356,2.2650246620178223
66,0.8417458764508075,2.2650229930877686
67,0.8416006756219412,2.346238136291504
68,0.8413449093241175,2.239915370941162
69,0.8412592907974704,2.349240779876709
70,0.8411317850962952,2.4856107234954834
71,0.8411412073005123,2.561814069747925
72,0.8409325522980186,2.3993771076202393
73,0.8406868532703513,2.289076566696167
74,0.8404989124067692,2.529728889465332
75,0.8403232493332777,2.455531120300293
76,0.8401985015887765,2.2660269737243652
77,0.8400004857506038,2.237978935241699
78,0.8397336599280272,2.306133508682251
79,0.8395920660979146,2.231959819793701
80,0.8395382849012674,2.337185859680176
81,0.8394158760297499,2.2319343090057373
82,0.8393375587850456,2.318164825439453
83,0.8391799630088712,2.4575347900390625
84,0.8391339330592786,2.5538179874420166
85,0.8388638655371199,2.4735751152038574
86,0.8386418145120902,2.2420029640197754
87,0.8384931989441876,2.4895572662353516
88,0.8383632662407884,2.4164280891418457
89,0.8383158858982035,2.2409908771514893
90,0.838376359479234,2.2329726219177246
91,0.8382953681511796,2.2910633087158203
92,0.8381921979895806,2.231966257095337
93,0.8380499770856485,2.342196226119995
94,0.8379715265893648,2.221942186355591
95,0.8377414525861561,2.323183298110962
96,0.8376970573681405,2.4525580406188965
97,0.837767628727152,2.5928924083709717
98,0.8374542912826428,2.4495463371276855
99,0.8373156916868,2.230962038040161
