Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
112986067.15555577,133641463.97084485,124251319.35745856,124509972.31327683
115400136.84455663,136035213.67236415,124462354.2677661,124566784.33888769
116567333.05158632,136703647.84652343,125724433.70243515,125571254.95342417
114566792.16122603,134501514.9369257,124947193.80423214,125038713.77252284
114566792.16122603,135984130.0681398,124336292.79158726,124451747.17689991
115303601.54831752,133814421.5390469,124039550.9034668,124145527.07980809
116258347.79711209,132978454.12242489,124466008.6819897,124198165.76683696
113200336.30892321,134891890.3953304,124993664.85267532,124427018.0245283
115909874.25444505,137018622.5647597,124915347.07640809,124908772.84642269
116039448.57508138,134317159.4650483,125082476.44289845,125130143.52925807
116638712.39191449,137694207.14877966,125028281.99875171,124489783.98786893
117640994.73052207,133820440.16314611,125312795.96938045,124909520.45492545
115808387.55388856,130647573.0711914,124731196.95597799,124834513.57238679
116632394.78763232,133640464.41657043,125170649.00773707,125407018.0861184
115710013.40986316,135046216.66726217,125666766.2803361,125029093.1383554
118309015.94996276,130955531.28879133,124855198.07392533,125293071.84968176
118292806.15481643,132680287.27170247,125251494.87461145,125271800.65695682
115128103.42230573,131831952.59560439,125046727.0385545,124987085.6251069
116959834.53803785,134238080.77589178,125590679.92994805,125608023.59919208
116338868.53849946,135730488.07669693,124900594.66288696,124917344.9970578
113974307.89467,137636701.65447485,125305866.04904537,125423658.56720999
117891514.00453925,134573096.53348053,125439731.38014585,125552335.89452496
116851595.53542908,132753470.62976924,124775057.70781432,125051016.96272404
115885369.80791962,135144934.61318824,124711675.29320562,124459401.87170678
115992746.86773145,133700003.08905776,124542244.39043605,124758431.73930413
117400076.28858411,134169741.48411903,125018098.82676595,124760309.26639044
116952663.68975382,138469223.55951914,124755843.76262102,124829761.26679927
116952663.68975382,135259498.8974975,125258278.27097793,124923061.04763657
115239857.61633176,135386955.79078448,125577031.42098063,125721426.91334963
114611494.97874163,132358620.51078862,124220464.89118934,124236693.70496187
113718215.654335,135346618.59244537,124814146.04082479,124341736.7899992
114923788.3315567,134690648.15183312,124570894.1583933,124419087.77150777
117510598.67378153,134208197.63856016,125324988.03859462,125166109.37179239
116768165.52448265,132570020.21441518,125047716.69205666,125311224.116928
114142754.46573128,134073850.82128091,124612546.96873501,124460399.5661344
114142754.46573128,134027296.36972885,124011045.01393083,123796006.87120312
115396863.83997989,136635010.0702494,124229690.43368179,124011784.25597477
115767177.18520848,132829949.40034692,123729607.94332041,123354404.76085302
117472116.74273556,137662981.1360559,124175593.24509029,124199043.88274512
115281108.94165978,135159978.9337395,124361164.5362202,124030570.77451405
116434199.52288026,134190496.29218513,124659553.63032895,124620525.42605631
117004628.79068026,134187199.18372989,124340826.34394401,124360270.64828454
117472811.68201555,131095132.65705767,124682922.41608171,124717960.56693467
113869698.08579338,132407502.82220818,124556782.45328508,125134602.73097771
114003592.74240926,134724168.19569692,124040805.22502555,124207871.90978836
114724991.57721752,133753861.5854322,123822895.21944466,123634801.21342759
113437349.66086219,131813243.29192176,124034342.58105594,123991690.9324786
115570541.57928362,134380178.51394692,123347214.99044739,123463467.85874674
115928005.57647468,134901814.24877104,123869945.42043449,123722037.30901885
114264416.1498254,135869016.7272221,123822627.85847,123317853.5720973
115211117.16017932,132947801.92883854,123995800.35796326,123716860.3126025
115536312.92935026,134325273.10955808,123430664.04015976,123477283.5182142
112549103.85717686,133418057.10655186,123678015.10982476,123840827.98489003
115711828.49278094,133611492.61893538,123727906.69233096,123925498.49794143
116866107.22137,132069676.75419326,123993619.5110022,123710674.90667516
115652189.91559286,135195934.18353763,124149432.41233379,124019103.5165361
115247288.10882942,131851941.70376661,123689315.38315359,123331724.98173988
115007554.62443973,135402059.93777958,123783566.40702479,123573559.12113072
112603858.47952239,133172732.50048079,124458166.87789625,124273760.61638555
117261477.57912709,134467967.60684597,124914287.01524796,124783457.08720419
117202436.67401955,135420421.7591711,125241842.3808999,125204437.44938204
116323984.5761083,132988803.79029006,124501727.5821396,124203686.79820754
116869488.38657904,135093580.09569302,124672065.75476463,124512441.36302674
117003657.94001956,134093032.43676385,124229193.795947,124162962.50983444
116667434.3868493,136922480.76455647,124268789.92958698,124531047.24858856
113005072.85125124,134223550.87252676,124436922.95396681,124457332.92044553
115578190.652881,132134209.50910065,123721862.1557086,123336060.42385444
113574926.1606378,132494184.35803397,123404297.24798514,123658872.79206926
113882040.02375224,133231670.97237198,123326859.15596338,123121124.09658596
114699216.86856085,131435973.39604494,123832576.56854512,123694677.341995
114917410.71485704,132797148.72909723,123976273.48871504,123717923.27938679
116010641.33749601,133143121.12901627,123858847.43364237,123346928.36689448
114808677.72260489,131936663.63946521,123257537.67966919,123263894.99034852
115201944.03689055,133985462.63966803,124021402.74150667,123993663.79870178
115213128.00397125,132167223.18941644,123444084.78739695,123090776.5087929
113087798.36855616,132549253.12969886,123369604.57925071,123728327.6320222
115275871.83766747,131293287.20924455,123121471.62474094,123234327.00596327
112827135.91641372,131167963.2530872,123105547.21500884,123357731.42876518
114494403.48830424,131694691.43808746,123017865.0932919,122831475.88592944
113525080.7410025,133681847.67448434,123429123.2993892,123093900.45946991
116230609.00452626,135277500.72499797,123802158.45981665,123446920.61869115
115139704.39429155,131101289.67983569,123334421.20317797,123501075.19543493
113043103.28112373,129686804.76556088,122763921.17936102,122791978.40381555
115280338.55920874,131008460.57417119,122592338.18396795,122888132.48778257
113811635.51020591,131728965.24160393,122861162.3766521,122866282.20595166
113028560.47360232,133038339.70252158,122306300.12054393,122350864.88014564
112565562.3986147,130091884.9112383,122337504.42285272,122716027.99378113
113074614.65525521,129188406.36964843,122174246.72268593,122135109.0930058
113913321.72256683,134981190.1907537,122197545.52920972,121816928.00075327
114065754.08189158,133953825.67572652,121934618.0244014,121931077.85499814
113028809.62374248,129722466.82786061,122276575.25927739,122515090.25762945
113304728.57595527,132828221.60404475,122531286.92760096,122398803.76054108
115382759.51380482,136052254.35062242,122668348.27130698,122611497.80614245
112332269.2915643,130709874.71828687,122453165.18340053,122827707.30784091
110543278.34489812,132195489.94393954,122194788.39707556,122716096.52585462
110061186.96014483,132634323.16328059,122294911.24679972,122319888.50442067
115283036.07137251,132701756.7977536,123181679.49979715,123397563.88719556
113784787.61801086,132689842.41826181,123050720.22984101,123122144.25687018
114079211.03561044,130833040.00262839,122559048.52596074,122628086.51468988
113820536.69686997,131365877.33277598,122777806.52647908,122588126.32979858
113356544.74609667,133345024.72472313,123544756.3168888,123383089.63785532
116178073.25426091,135665973.09124142,123718948.57676543,123632055.02269131
114310910.39159682,133840979.06832772,123159486.2250689,122879837.63033795
113114328.58012879,131980915.60661837,123197480.84231633,123551772.69154492
112091275.12245065,133312177.92111689,122719843.23491535,122554660.71843806
112272244.11818208,134308688.4989422,123110710.27121927,123041325.13565224
115084868.58637933,132506265.42201918,122887555.46797599,122576865.78468734
113347766.33204664,132013150.9076942,123087389.82261199,122910716.1768566
112901584.59164551,131303334.55698109,122075955.80826494,122068204.49637443
114942936.99261162,131534728.03774908,121927505.25886281,121973611.9692699
112003499.73849414,132977165.61619434,122675223.79809761,122493287.0062279
114490217.68468167,132143441.12155508,122705971.61975859,122436108.29492402
114134082.77708165,130779112.36476469,122519041.1515907,122121854.47357644
