Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,149.1318542957306,0.49710618098576864,111804667.26308845,143403834.4540188,31599167.19093035,126896410.54719527,126911874.98804909,0.33333333333333337
2,149.2958357334137,0.49765278577804567,113655557.9905052,143042655.1191936,29387097.12868841,126868952.62710163,126798481.49597266,0.0
3,162.98244094848633,0.5432748031616211,112110617.38829467,142186513.53592652,30075896.147631854,126847831.0320024,126728990.32674196,0.33333333333333337
