Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,77.60989809036255,0.2586996603012085,23145261.31097605,27636064.394167334,4490803.083191283,25266078.445317045,25254747.552041057,0.0
2,77.08276677131653,0.2569425559043884,23072590.385525238,27658595.115122385,4586004.729597148,25262423.423793934,25257299.60179534,0.33333333333333337
3,77.2784652709961,0.25759488423665367,22874648.950976137,27644625.88852291,4769976.937546775,25274754.60337777,25262524.375029378,1.3333333333333335
