Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
119740971.67930621,138347852.86056203,128642293.7556292,128787230.23406693
117476624.65445319,137996831.9819819,128796183.15477382,128863375.87447056
119278286.6068925,137670643.7681494,128868149.18345767,128594776.26451844
121433928.9541445,139015169.25673532,130049763.14860745,129897922.4940461
120846179.02579187,140562521.23057735,130132498.3046309,130321552.30723283
122047997.54241103,139423898.22623768,129750888.89795445,129567332.85741523
120001468.27453014,138007180.42085037,129158618.207603,129209812.98730996
119264604.9797812,139330376.45775717,129349842.9922663,128912708.99469641
120393475.91281259,138420527.44180024,129033855.54190505,128604949.38999927
122251425.75994384,138907690.1968671,129404249.36517742,129404384.54480654
118550901.24135394,141073679.592753,129521626.51342888,129492957.62149727
120503055.7586945,140813067.04605988,129539871.84850408,129413345.2376415
120222716.34916845,136201007.6069743,128558928.03901292,128736756.83559895
120939418.36459924,137590786.39188486,129800572.59001438,129641489.15804964
119420171.45211661,139928937.79131117,129987766.46192925,130546088.82674347
122974417.62188572,138800504.8931391,129835102.61253509,129604068.04657687
120700775.08804478,138696912.3843789,130190463.12883568,130131729.32282156
120621703.0801709,137660293.93436703,129986918.87133719,129947032.4104333
120967113.6600934,141159755.27869156,129794522.98081297,129571146.6522868
121199118.14341821,138166586.70156983,129930394.1826634,129767705.92098117
119884052.6406702,137775194.47475553,129285934.74052641,129554514.94724955
121594775.45381308,137819528.72272506,129644994.22779109,129562975.16849506
119943614.33775117,141256994.24176702,130184282.45965262,129882326.64690357
123921855.38641864,138395591.30821598,130412365.64260933,130396573.99385616
119213092.01847893,139904777.42483735,129929962.08892886,130174745.54774785
120398303.31372926,140365767.37873435,130043786.87572062,129967924.96996987
120835220.2960957,140365767.37873435,130134490.7745334,129944734.48622304
123163070.17739205,141206401.6100854,129956404.07219224,129898182.02069876
121429057.90856625,137475600.03142616,129881915.52732971,129788791.15711546
122277212.61983207,139794630.89036024,129723347.17410822,129298674.48375371
122535453.15137385,138495990.46770445,129681298.52585112,129337890.25434588
120813672.77828467,141935457.24797267,129862279.00916374,129865251.4151317
121183530.79407184,138128752.60463735,129964272.67323233,129760520.32807225
121137376.04067479,137538512.16823143,129742568.6554754,129476467.1791999
121906574.05315737,137458638.2497908,129373125.10444695,129307270.5367333
