Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,198.9187741279602,0.663062580426534,115777133.67790197,144459382.16368487,28682248.485782906,130032378.7978167,129936441.18760383,0.33333333333333337
2,208.041836977005,0.69347278992335,115475646.50279218,144364712.1471885,28889065.644396335,129968734.73232384,129898052.25737244,0.0
3,199.05211782455444,0.6635070594151815,116717924.60945678,144418039.26997256,27700114.660515785,130127232.09338601,130022191.24571592,0.0
