Success,Search Steps,Search Time
True,9,0.0009512901306152344
True,15,0.001027822494506836
True,4,0.0010342597961425781
True,15,0.0004754066467285156
True,11,0.0005333423614501953
True,25,0.0010030269622802734
True,12,0.0005016326904296875
True,22,0.0010139942169189453
True,24,0.0010275840759277344
True,24,0.0004763603210449219
True,8,0.0005009174346923828
True,20,0.0005013942718505859
True,10,0.0010025501251220703
True,13,0.0010004043579101562
True,14,0.0010020732879638672
True,29,0.001003265380859375
True,8,0.0009889602661132812
True,17,0.000492095947265625
True,13,0.0005011558532714844
True,10,0.0009751319885253906
True,9,0.0010027885437011719
True,20,0.0004999637603759766
True,8,0.0010025501251220703
True,10,0.0005009174346923828
True,11,0.0005013942718505859
True,18,0.0010037422180175781
True,3,0.0005004405975341797
True,31,0.001001596450805664
True,8,0.0005030632019042969
True,22,0.0005004405975341797
True,19,0.0010039806365966797
True,17,0.0005009174346923828
True,14,0.0010366439819335938
True,8,0.0004963874816894531
True,28,0.0005013942718505859
True,7,0.0005006790161132812
True,12,0.0004961490631103516
True,13,0.0010025501251220703
True,10,0.0010020732879638672
True,12,0.0005011558532714844
True,27,0.0010025501251220703
True,17,0.0005342960357666016
True,13,0.0005016326904296875
True,15,0.0005016326904296875
True,20,0.0005068778991699219
True,25,0.0010023117065429688
True,15,0.0005013942718505859
True,19,0.001001596450805664
True,13,0.0005011558532714844
True,11,0.00048732757568359375
True,22,0.0004973411560058594
True,25,0.001001119613647461
True,23,0.00046896934509277344
True,13,0.0005028247833251953
True,21,0.0010023117065429688
True,11,0.0009794235229492188
True,26,0.0010030269622802734
True,8,0.0010025501251220703
True,23,0.0005254745483398438
True,5,0.00048661231994628906
True,12,0.000986337661743164
True,23,0.0005383491516113281
True,14,0.0005013942718505859
True,25,0.0004982948303222656
True,13,0.0005013942718505859
True,7,0.0010025501251220703
True,23,0.0005016326904296875
True,12,0.0010039806365966797
True,29,0.0005013942718505859
True,9,0.0004730224609375
True,26,0.0005016326904296875
True,13,0.0009975433349609375
True,10,0.0005030632019042969
True,13,0.0005023479461669922
True,9,0.0009722709655761719
True,13,0.0010025501251220703
True,6,0.0005016326904296875
True,19,0.0005242824554443359
True,6,0.0010037422180175781
True,28,0.0005009174346923828
True,13,0.0005013942718505859
True,7,0.0010030269622802734
True,8,0.0005016326904296875
True,9,0.0010113716125488281
True,17,0.0005013942718505859
True,13,0.0005252361297607422
True,8,0.0004994869232177734
True,37,0.0005011558532714844
True,20,0.0010027885437011719
True,32,0.0010023117065429688
True,25,0.0010023117065429688
True,34,0.001003265380859375
True,22,0.0009775161743164062
True,20,0.0010030269622802734
True,12,0.0010025501251220703
True,10,0.0009784698486328125
True,4,0.0010020732879638672
True,1,0.0005009174346923828
True,24,0.0005006790161132812
True,13,0.0010046958923339844
