Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
114771318.69823295,134980220.5164768,124848631.68185942,124815841.42917937
116554981.30779757,134728018.79688817,124489466.06023508,123892162.82212424
117448585.74778493,136147033.5100032,124874804.81288718,124659608.62845495
115162500.02558437,137433064.79021305,123936151.06921619,123774556.60562825
115458460.61276908,133645956.69019192,124360536.74013762,124527060.80607909
112561250.43472825,137053064.3067898,124902964.73171641,124968889.78908494
114104145.6751593,131302983.9019617,123457220.42735021,123364530.0650606
113776312.78616008,137604740.0980006,124351055.15029535,124029261.09843293
115900416.09498514,130087289.46823138,124051626.11702582,124295616.95966187
113660354.95118262,132075953.06304778,124012729.62653357,124457654.44799569
114964419.0088835,131630780.79634854,123322138.30859333,123527106.0141943
116632905.95464365,136696790.55825442,123484220.80451833,122849440.78515112
116176171.38860266,134205221.42501393,124084545.57358617,124038460.13728839
114178738.14814612,133596944.16810453,123753770.4983019,123616977.2891081
114534118.81514321,130197150.19889745,123958334.27823246,124120115.38524559
115557417.3599212,130598132.09686197,123583488.8342178,123753788.63974288
117400924.67950907,132536189.52438228,123267645.27449994,123141017.4045738
116670305.92706403,132390156.25146702,123973950.86824882,124157354.19859213
117108278.65376261,131113755.54665081,123467898.5181045,123263094.30305758
116638230.79081519,133204238.98366699,124297225.91065045,123953062.13155147
116161453.01426174,134574053.76667038,123762921.79104282,123627471.64118621
115029110.78119327,137271597.40887156,124061870.12764019,123883702.07652764
116266493.80500798,133366108.2646659,123806758.21273017,123793192.07242109
115235699.21903442,134444102.84366208,123538062.90293948,123235209.83788654
112776644.83096056,134005609.9495291,123857912.03910106,123558614.84604086
115675972.92049657,135765931.81779364,123525532.61974335,123222479.6464173
116536464.80721095,132010479.38910146,124720292.58055316,124737490.66291845
116979742.10950227,132500966.22328803,123897350.88813737,124140181.65217349
116336393.083562,134447780.22056603,123677137.63934901,123432335.03865805
117462501.03580236,131576997.74526574,124323229.44648787,124098317.45898426
115514786.64648174,130947640.7970521,123808158.88739286,123333609.60709193
116348432.37051338,134072993.0109566,124758084.76390445,124935842.97158541
114442110.64382541,132270199.28546964,123807032.23234889,123653686.49101469
115377190.96508498,133081802.72476839,124111736.35312471,123919821.95167617
116943435.57620025,132312494.8760806,123891239.9331403,124277935.32578185
117877721.77049252,131376444.2330369,124834490.73137373,124746248.27027586
