Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,79.15211367607117,0.2638403789202372,21297982.979040995,26569586.550625954,5271603.571584959,22517834.58200663,21483078.92700982,7.000000000000001
2,77.09039187431335,0.25696797291437784,19819735.785724472,26760822.489090256,6941086.703365784,20592828.135902017,19950919.0095857,10.666666666666668
3,77.37412285804749,0.2579137428601583,21158106.77789702,26862953.238270443,5704846.460373424,22066224.268821,21175059.937516656,6.333333333333334
