Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,195.67569375038147,0.6522523125012716,107587212.76754683,141266625.7149236,33679412.94737676,119543012.19021685,123212288.02954322,6.0
2,189.3540449142456,0.631180149714152,93527602.05473375,137429893.4277374,43902291.37300366,100326604.96632677,93535648.37597363,12.666666666666668
3,201.22527408599854,0.6707509136199952,110604913.84806974,140176598.19723806,29571684.349168316,123426263.05688712,123338692.20848176,1.3333333333333335
