Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
112374910.72367743,130838574.70837949,121174897.63107525,121254890.85750705
111284503.701627,135400047.9703955,121155669.82416154,120950707.85513458
113804685.93594104,130618387.51274785,121399263.35113847,120984228.0791997
111924938.70580187,129538838.66528697,121398874.34951353,121906102.24694833
108656493.01738659,131486411.06617863,121375310.37402952,121684694.10407254
107604286.33766724,128753839.9392685,117201882.15849176,116791502.32856712
106871123.66339204,123260534.11876528,115450799.0259495,115501680.1747396
104953358.60919541,132172534.41978109,114881172.15890585,114569179.11086452
107007611.43044215,123677990.60969107,114178715.6743881,114095874.34854868
105551585.27941482,130113113.6735257,113875394.7140247,113697210.00927073
105339639.37974063,125969389.20494932,113573671.62331106,113615211.34167749
103898349.79839869,121985551.2041947,113415312.68078819,113490153.73793355
105115997.86632192,122762074.07142411,111404480.70400666,110856662.1526064
101804906.85443535,122472054.77319188,110468080.50328538,110308429.55448344
101688685.52205965,122956771.84252478,106439439.10182638,105413539.52533254
99867453.64705104,122498039.09649874,103639458.5659415,102470033.95633984
97694241.97553724,121785920.18531534,102411864.4011629,101174035.56504326
97847769.46170072,121243462.71296892,101983839.70003091,100392266.70783153
97811137.88322254,114038944.21252866,100939400.43631145,100117957.12334178
96492964.12265344,116118258.60452823,101302059.79581775,100589475.42134784
96649224.74854758,118721062.7675709,100501980.60291639,99297311.69947895
96937360.48198435,114677261.83922116,99923469.87830414,99016732.46715541
96782914.15105891,110809224.73173042,99990730.47896114,99340909.96003202
97151930.77115032,124230757.66972211,100403659.0623231,99354928.85646498
96460602.8933733,118314578.85426402,100045170.57706515,99070900.29460013
96448313.61645344,126676946.22322397,98641814.46663307,96631073.19408983
96460602.8933733,117325641.72518702,97414964.20412838,96538348.09439152
96460602.8933733,125097963.36450817,98231335.31234606,96545855.94135146
96460602.8933733,118213877.4331927,98232367.76889734,96548492.46027525
96455048.7885542,125887204.40084401,98178211.92425214,96550068.70688502
96460602.8933733,117243679.46235903,98589380.73508395,96555503.63015139
96460602.8933733,113490766.00409938,97712576.05279066,96548492.46027525
96460602.8933733,118846422.48018359,98442452.28281426,96553188.82750034
96438760.11371371,122648429.98051164,98440375.80126598,96548492.46027525
96448313.61645344,123461300.09205842,98346469.75827406,96548798.41356006
96435385.3188179,123680638.79380684,97498519.56119277,96539694.63057148
96435385.3188179,116777835.04880692,97561626.8274861,96438760.11371371
96438760.11371371,119280982.15086886,97780909.68805346,96438760.11371371
96438760.11371371,117044537.80103652,98010019.8954393,96438760.11371371
96435385.3188179,125888876.48558243,98224570.46785042,96438760.11371371
96435385.3188179,116521184.0266967,98523864.71398672,96438760.11371371
96438760.11371371,122053331.2294817,98320620.74427888,96438760.11371371
96435385.3188179,119586643.06459413,98399271.34278624,96438760.11371371
96438760.11371371,117775255.50182177,98306102.57517503,96438760.11371371
