Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,71.21218919754028,0.23737396399180094,23212056.059966035,27623890.69341191,4411834.633445874,26481757.70608189,26629257.895417415,0.33333333333333337
2,67.02243852615356,0.2234081284205119,23336290.707701992,31250306.065367617,7914015.3576656245,28002129.22989592,27659868.90613773,0.0
3,65.86879110336304,0.21956263701121012,23509948.394436695,27658659.425669197,4148711.0312325023,26415286.98036463,26526005.958112516,0.0
