Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,162.31475615501404,0.5410491871833801,114992899.10909946,152917446.82019678,37924547.711097315,136155975.03030467,134498259.35300392,0.0
2,176.1276044845581,0.587092014948527,119949515.12217045,149503070.6667397,29553555.544569254,138884030.35601526,139251381.63508487,0.0
3,183.80684089660645,0.6126894696553549,120025267.12434192,167968076.51802087,47942809.39367895,148382311.5629651,148830802.00676596,0.0
