Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
115553594.83668327,135434385.09701884,123759180.37048428,123338955.9239017
116509698.78551266,136989591.98051652,125060010.12310602,124915927.57989663
117206079.56222755,138977826.3147741,125408303.41961168,125040371.52216762
117957233.47798316,134422752.19032472,125228745.96057107,124930076.77777062
117997520.33128504,134915363.22851652,125861912.90048498,125522069.24250928
119269189.36081046,135961579.08783892,126676348.46456493,126556575.10730675
115983460.46522492,136254834.7373442,127575411.51304471,127122445.01564762
118465047.9181677,137840835.75225922,127571883.15537712,127601932.77818748
120054980.34920192,134218842.6527038,127700184.85472517,127784264.87030287
117634047.9860675,135747841.86218557,127766191.42939079,128298108.24611631
120752155.02695069,137279572.78347436,128001506.67105073,127778340.72600585
118892847.4411612,137440079.1779569,128356778.20570575,128328130.9724847
120640250.08219407,136416004.60135418,128019568.01893726,128169423.00999781
121645560.33100644,136851006.38531405,128797512.97294666,129047743.17564182
122399841.30335757,136543421.45097327,129143666.74561511,129097291.68297052
121620422.11774531,136821616.99673656,129631384.56389605,129485831.90788457
122498150.38963251,137030097.3638299,129747161.31391491,129697979.01614687
122498150.38963251,137313102.32773292,129616657.24611099,129410033.91158818
123396139.30021575,136590712.84256,129669946.63033706,129410033.91158818
123349547.43600288,136182175.43697265,129944241.99392487,130096030.28845544
124103827.6090513,136365126.02939728,130296855.69129452,130484928.1691854
124777755.71680017,135281844.0195361,130338994.32611783,130094543.9748252
125098969.79818071,136086769.20590734,130441033.36207016,130010367.1552729
124747692.55227408,138620687.46839768,130854128.65369473,130762457.29883075
123696737.53883421,138460263.89553067,130919731.25371519,131024125.47891778
124457382.33485097,139234436.32443273,131193476.58488165,131325891.2488594
123756315.34691523,137324471.2995248,131040626.81815317,131325120.39957595
124868790.86199844,137049540.5475101,131252838.96246178,131354119.03889407
125742938.21503776,141722686.44589186,131772191.38653064,131692329.85919909
127340555.56630857,138645785.37347236,131835898.32086462,131835110.43321382
127856728.83902451,137691419.69519573,132125925.6912577,131892750.30092716
126138879.21546948,137943637.76857653,132080079.92301305,132039548.40659946
128397519.46491905,138236638.1548127,132299007.03845663,132302131.61057678
129173329.90575443,140464664.1497436,132948350.72300291,132629480.95480043
129881280.63427131,140733766.74593163,133207091.59241986,132766950.79720944
130116510.4756582,141640537.568265,133766528.97550206,133243769.57629633
128499683.55407482,138135986.08731908,133274575.22905949,132921181.01627144
128760640.79186493,138865182.13126206,133192090.63522702,133155590.52101141
128620091.65429036,138707354.9493499,133371672.2688009,133209084.47925779
131882057.42141303,141787255.17415264,133392385.31513274,133229215.1373703
129964612.05591978,135665136.16193774,133404515.80601977,133258324.01522234
130559573.3964647,139613257.97177842,133457903.99652463,133322084.96566233
132827100.56225634,135794953.69504833,133530840.12804678,133522505.40207422
132967630.04407367,134642588.43473798,133540401.1143936,133561171.21752451
133258324.01522234,135875099.97169006,133661941.72906873,133671266.0056122
133321609.10902025,135015197.77830565,133742071.45803218,133773366.63928701
133328758.03817283,135631048.31035015,133848508.56460343,133787388.04283403
133579191.66904844,134952883.58289623,133899063.89956994,133848843.67141163
133719391.65973778,134837779.71183434,133922185.73059702,133880016.50952731
133773366.63928701,135498636.13817593,133958482.65567754,133883888.33969373
133802750.18936986,136371607.37453425,134038340.28306581,133883888.33969373
133848843.67141163,135361153.47478116,134028930.2114333,133952624.07100166
133883888.33969373,135429293.50609368,134077326.60976887,133962707.47844736
133883888.33969373,135022027.27646124,134089284.55626354,134077116.80524054
133907748.45733073,135041325.977958,134164595.74035797,134203966.03716417
133952624.07100166,136537181.27531254,134220364.90995282,134203966.03716417
133962707.47844736,135347673.77524385,134218189.71460065,134203966.03716417
134077116.80524054,134742040.35633326,134242673.30526352,134203966.03716417
134124213.81357704,136449036.39257082,134291588.82361814,134218308.88344377
134203966.03716417,135205609.51264963,134291346.3186178,134250564.83244774
134203966.03716417,135754026.18628868,134339027.30607527,134317096.09113264
134203966.03716417,135607330.88509625,134374941.13510633,134323371.96593687
134222946.17431584,136481154.43710193,134428338.47510222,134394719.8958439
134222946.17431584,136803215.83110937,134469888.1544567,134394719.8958439
134323371.96593687,135733297.644316,134446531.9837559,134425733.8790233
134394719.8958439,136050381.57274404,134478183.87148646,134425733.8790233
134394719.8958439,136611741.09878126,134516556.78097793,134503870.3153085
134386802.3967245,137376559.4326977,134534288.5217697,134525606.16834638
134425733.8790233,135751587.9430099,134552624.1249863,134525606.16834638
134425733.8790233,135482321.2899005,134562641.3143878,134525606.16834638
134417241.98527983,136582765.99115908,134603195.51132184,134554085.06209257
134514263.63842583,135059438.0791996,134596307.04276976,134587489.21232632
134525606.16834638,135803802.1887878,134637304.53090745,134589550.67650184
134525606.16834638,136705439.74783477,134675231.1223437,134596945.34833455
134539190.82507965,135646123.0088336,134678282.25332564,134643502.43612102
134564550.83474654,134829303.76914713,134670165.17582563,134675086.51366138
134401507.07555914,135830093.6227988,134726046.36948353,134726684.70473036
134401507.07555914,135848578.73280612,134723651.6495834,134735049.16963696
134589855.8732708,136868579.53848228,134743362.81246516,134740095.16199866
134612000.386419,136433431.79590872,134767379.2777574,134740095.16199866
134612000.386419,135733838.3604152,134778406.7750591,134740095.16199866
134675086.51366138,134858276.130829,134753145.3895074,134740095.16199866
134675086.51366138,136089821.79925546,134802954.27361366,134741527.97547078
134740095.16199866,136048706.55033135,134796904.34928852,134763010.0576906
134736986.7902927,136000312.43118596,134829285.68740654,134783504.93155113
134736986.7902927,135790364.81138122,134796076.53766242,134783504.93155113
134740095.16199866,136012181.0854524,134808311.0156127,134783504.93155113
134682300.9409424,134963440.78903154,134805658.53989816,134783504.93155113
134740095.16199866,135845817.66732952,134831296.951952,134794538.9834829
134783504.93155113,136112426.22094795,134909713.7442417,134833661.4451695
134783504.93155113,135041273.09966132,134828996.11265475,134833661.4451695
134783504.93155113,135200431.14204353,134846998.0551724,134833661.4451695
133749692.13069218,135110226.6272594,134842824.69004804,134854064.68918005
133749692.13069218,135902328.48475534,134845734.86428913,134854064.68918005
133749692.13069218,137265286.4309233,134804874.86274713,134854064.68918005
133749692.13069218,135975842.85723493,134541396.77632987,134833661.4451695
133749692.13069218,136088305.75922158,134158825.64023447,133791444.14812961
133749692.13069218,137154423.6205009,134010949.42268544,133791444.14812961
133749692.13069218,135615368.30978358,133952197.28936332,133902314.26612686
133749692.13069218,134933446.13819924,133947677.36558993,133908971.23013805
133777665.80231103,135167066.9897731,133977811.47437456,133963407.07282153
133777665.80231103,135444117.43315014,134047391.97244811,133978084.73865207
133908971.23013805,134784130.9145772,134012527.4611959,133978084.73865207
132951951.60011286,134414722.59461924,133996640.78246126,133978084.73865207
133231871.25163789,136369195.00749636,134069000.53467998,133986884.23204106
133908971.23013805,135913597.97958806,134075474.05773923,134029405.80009471
133978084.73865207,135086158.1969593,134099942.95781597,134089408.0256736
133978084.73865207,135040057.12171376,134156432.83617869,134098168.06651284
134076112.77015838,135246878.49861395,134213237.2534936,134117245.12027645
134082372.12438211,135963707.10368854,134250089.9744481,134160064.88176234
134082372.12438211,135397331.40863496,134237433.74089473,134179670.92773905
134089408.0256736,135075322.1161667,134289337.35236737,134251798.3440114
134160064.88176234,136947986.29410473,134375154.39655098,134287534.0360837
133961203.78940482,136524851.4483535,134426621.8732983,134408158.80756676
134181771.43969938,135193384.75316197,134470618.66363734,134477669.26537853
134256984.5456157,136526462.89942327,134505364.68252486,134480286.2238391
134329111.96188805,135968271.64142418,134533897.4723208,134507258.4308595
134085614.62994249,135596449.22563928,134541879.36843175,134532660.56903303
134408158.80756676,134963113.29124066,134555687.9083963,134545618.08627826
134460533.15276068,135573558.46709976,134611183.54631466,134548918.50749433
134480286.2238391,135731527.21296117,134633155.30727056,134579053.05457473
