Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
120485804.19354479,140107171.79317173,128611619.12372337,128666701.70365533
122142856.83583796,139326821.82880387,129906715.49977587,129799207.64640117
123932627.08798681,138475707.33842292,130078195.90208906,130162235.70174742
125041799.28172244,137854175.71305424,131325368.62686181,131274023.88533829
126616862.35228911,140629942.472856,132215967.39004433,132124624.92205626
122701465.12874494,139694748.47027943,131916474.69167677,132074739.68338849
125578512.2628705,143092095.70009616,132832821.19137506,132595314.21044777
126563963.99310783,140853078.9839552,132918065.5573791,133016275.95642471
122573320.12404983,139824988.33257917,133423205.33273055,133689387.83255038
121186518.62469296,141140727.4808291,133197155.8736993,133331133.07009178
122821275.43039967,140919098.10079262,133549926.49281861,134096938.00908193
125052751.28570351,142300071.41064724,133730757.21462592,133895140.6659064
125007484.18327832,141803804.52413094,134294398.63080782,134247273.2688368
122772101.68639241,144208074.13815388,134950412.4494568,135540574.20582694
126103803.06391363,141557918.18236428,134747117.71397364,135083092.51977897
127452531.47163329,144110203.1863147,134501632.0747934,134601238.75041917
125025889.36240321,141985654.93018487,134908931.02503288,135089485.89657307
127890785.41835397,142961849.39799964,135622810.04341468,135601309.56123582
126416024.66808909,144800839.20623365,135660818.50807288,135490891.04047775
127299341.42413318,146618237.77796823,136417742.33652797,136386742.01821798
129647648.21884978,145557769.86884734,136658261.99027205,136839180.39384234
129412242.45117092,145557769.86884734,137054587.8587454,137405862.3717423
129657556.79182822,144692026.64985424,137206189.92144114,137242982.42482203
127039880.68969356,143954176.20120507,137564230.39500737,137767410.2159567
129802098.30816248,146100119.51142198,137817437.53402883,138056496.8169111
132154575.6166203,146518006.6921254,138216030.15087578,138197783.18841237
126174611.01659638,147856740.12530982,138290243.8525933,138089270.81192058
130255967.89862858,146518006.6921254,139048236.26231512,138967131.8646686
132313712.26736619,146300384.469502,139236780.00576657,139167632.74357224
130265072.55296536,146771529.56828418,139677946.5156367,139905737.6794895
129921343.22766823,146854798.62687013,139837555.76505876,140162339.09600216
129921343.22766823,146288305.49011624,140259634.82190615,140663976.20538312
132704775.74459027,148928643.5397534,141234558.26859817,141027472.974024
133748308.10616411,148928643.5397534,141952587.5597134,142343255.7358251
134545142.87102044,149714874.30378816,142519998.3252799,142662912.80418885
134060922.11432219,149714874.30378816,142715983.4619213,143118745.96153623
134504062.79586357,151977039.14714554,143428489.05817533,143237765.6548935
133309123.1899201,150693414.62203634,143558226.14359087,143980113.1355129
133440580.47950472,152007595.3254998,144271707.82497758,144309859.51575738
