Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
120253499.15136904,140507697.62215373,128411804.7303957,128387491.22922349
120464591.4154748,140171949.77120745,129370258.44916195,129520545.50565483
118845182.77886009,138548046.78974304,130674673.37306292,130858549.31191103
124675139.44759037,139353589.60546798,131670886.50658073,131890356.44163802
123551906.84622748,141325282.05125988,132082032.11010304,132345171.25288239
125443552.2291708,141426830.23886648,132840671.37225221,132599910.09260982
125534240.3489165,139670843.95923892,132911285.51702042,132704573.11736146
123721918.88462843,141955305.54653123,133308697.926471,133203121.30899031
125435766.70361798,140125605.81154162,133552650.62284032,133839552.3937409
126751181.82867658,142622659.06396222,134216350.34106906,134232606.21122813
125707822.67059167,143451090.63249242,134563775.4714215,134836140.1715697
126833726.14942618,142793206.7625118,134523578.11805844,134843045.94290528
128329207.10914847,143220766.2614993,135303853.1580952,134867059.29557276
125826881.2185024,143220766.2614993,135748918.14444447,135546713.98110807
129398752.75081539,143009620.13067392,136184009.57846445,136270582.28500757
129430329.23005027,144053653.7988511,136505898.68999982,136453246.7553615
129461577.46418488,147604079.04409075,137012687.3365506,136892253.213952
129364197.36124384,147604079.04409075,137467190.41573185,137303319.62318665
126017511.58817393,147604079.04409075,137767697.56538153,137383085.3624707
130456555.69184834,147607446.29900414,138505483.87797233,138603875.07691103
126827416.12027393,149494822.94594115,138876419.22737467,139312800.53805956
128841330.59462675,147144498.1032247,139618433.7937094,139885447.8983299
132530817.46726319,146539931.71389237,139965503.07047284,140212702.32376915
133420682.06399259,147998118.81526282,140927780.26938486,141106640.34850278
134468764.39990398,148493331.94127753,141616065.46353918,141721875.17809528
131713344.99919108,147343451.25683162,141495766.6700103,141915750.1988507
132935418.53142916,148115842.61211482,141893772.9808367,141962395.7626564
134354388.69790658,152525164.67736855,142769428.80188936,142459189.95141387
133130299.48622213,152525164.67736855,143204879.82711568,143094662.32165495
134703974.34726596,150957652.56167817,144087862.38547632,143820549.1382205
134842518.46706122,152088258.20724598,144932379.29408962,144377991.36127537
139516372.57770687,152088258.20724598,145118853.75103396,144563179.87421623
134720954.62783757,152603073.17398605,145758601.88468045,145490263.27843875
134720954.62783757,154300426.11779743,146646657.3048485,146680446.94044322
140554855.3614243,154300426.11779743,147220284.13544568,147241689.0807793
139352521.95065567,152758412.7507451,147482808.4338503,147143272.43863294
140463658.76054832,154057248.6863667,148382735.78886437,148404922.8286121
141024473.08496362,155559828.0179623,148917582.21187863,149239870.29928774
140854719.4029345,156168096.57123494,149340175.63141924,149549517.5561909
143107623.8016529,157967438.95662007,150262800.18120527,150277327.1928491
142971046.54909608,157974179.50732154,150490643.63023216,151003611.75885427
143284318.42670915,156576430.2295414,150737337.9638982,151114871.2040488
145165046.0087897,156576430.2295414,151547588.49322683,152037561.6159675
142966131.9425226,157149145.45561403,151833201.68178475,152099734.08470815
144234443.75471985,157297855.50422466,152533778.08280706,152659254.6146125
143201335.51442197,157297855.50422466,152707793.40824214,153241279.79156148
140711623.24458703,159448398.16223702,153646393.5021194,153905821.8824308
139938562.16714922,160774250.24453974,154428408.47381532,154785897.3085612
141721701.6686584,161679712.60359555,154759293.65552312,154910027.96556818
141196017.4645758,161679712.60359555,156018434.168616,156079397.1444427
149855225.43669388,163366767.97974116,156749578.41166383,156730560.78862143
150594149.0360471,163778171.1566847,157562028.78954783,157891506.56979072
145284501.059233,163778171.1566847,158453035.4447022,158510318.04554826
152794490.01304862,163700139.09689084,159328475.35552856,159725117.9113456
149762357.1984173,163762045.82748502,160025980.90128642,160309124.68996328
152908206.8967818,165180459.6521024,160159732.1978894,160535523.0914093
156278612.879018,165725405.8773647,161054601.36266652,161384908.26321054
152570252.2355019,165725405.8773647,161649210.07501224,161868942.8996219
158041237.12961856,165567140.03965312,162195366.9569072,162235389.91359064
157310419.00852332,167093165.66172945,162667073.3692835,162498346.4751705
156411211.35720995,167326190.49657363,163147856.07980818,163205094.1922887
156107110.93467855,167651950.42996573,163928594.93162358,164109204.36709026
154200914.3372155,167364861.3460708,164587369.69792685,164957110.63384715
154849682.2503707,168755691.33409262,165038865.00884664,165322536.4600045
153099167.4600001,168681782.63294622,165534253.9143545,165745153.56081823
163254028.93754467,169420782.243994,166305120.60369304,166414261.69969115
164307576.19416466,169218751.02257004,166555840.46405235,166626649.11942017
163723757.61632097,169218751.02257004,167009264.92951846,167148167.33958367
163275671.09354734,170037936.07235566,167341275.50098023,167521420.78734338
162932107.4648466,170183903.93541697,167711998.31349868,167692331.12149602
156394276.19460526,170037936.07235566,167838161.06052187,167925388.89610314
164738226.3024442,170324865.8701218,168207045.99200502,168204092.42753386
162104132.07086968,170324865.8701218,168487320.10638016,168504716.81545764
156763753.06314027,171314390.63109806,168851646.16871986,169016168.35663238
162084232.93748742,171321326.18551037,169329083.01162404,169319803.01490033
167619065.17821953,171321454.96675262,169682052.98150802,169668131.94772464
139662861.48021144,172198163.6400156,169643345.0683823,169954129.0147441
158122183.18506715,172202575.32798344,170080456.38593292,170121488.81198102
148282460.9920926,172623225.16989246,170221723.08787847,170432833.0974479
153505871.8748212,172371617.69415087,170381577.55170074,170637115.00129658
157361966.38752896,172371617.69415087,170575240.7984041,170828262.4969954
162480348.28952256,172371617.69415087,170871843.9362251,171192488.00558358
166569901.0898743,172371617.69415087,171339029.9658908,171473794.65792608
152661052.97795996,172606658.9333025,171348181.1934806,171549342.64681405
164537807.05222705,172805337.75649935,171675267.11207202,171642837.0240935
168714583.67419818,172526132.7680534,171778500.29024974,171720987.53201935
170621693.3647261,172623305.7207429,171978972.33080605,172043415.0309318
170411588.77079415,172623305.7207429,172076076.05964646,172180087.69370452
171400337.4912848,172992368.42765537,172227772.86329952,172180087.69370452
170121029.79829296,172923054.82226583,172292285.18142352,172326568.03906065
171110393.8599033,172923054.82226583,172430970.13616833,172519651.0208667
172180087.69370452,172923054.82226583,172517227.93597025,172526132.7680534
167610268.1551501,172923054.82226583,172563476.46995962,172526132.7680534
167641702.31625354,172923054.82226583,172595307.19823948,172526132.7680534
172180087.69370452,172923054.82226583,172769565.3740061,172905830.5023241
172526132.7680534,172923054.82226583,172839025.57442543,172905830.5023241
152067398.04093713,172923054.82226583,172374700.48523232,172905830.5023241
166491742.70692247,172923054.82226583,172777613.2127442,172905830.5023241
172905830.5023241,172923054.82226583,172914072.31120571,172905830.5023241
164647175.99314123,172923054.82226583,172823082.3892824,172923054.82226583
167344134.9142514,172923054.82226583,172839990.56004867,172923054.82226583
163260874.22202247,172923054.82226583,172751104.42264023,172923054.82226583
167579220.69802675,172923054.82226583,172816005.89658162,172923054.82226583
172923054.82226583,172923054.82226583,172923054.82226583,172923054.82226583
172923054.82226583,173036369.16384646,172924187.96568164,172923054.82226583
172923054.82226583,173036369.16384646,172926454.25251326,172923054.82226583
158828240.25030145,173036369.16384646,172786639.25020942,172923054.82226583
144221714.90569884,173036369.16384646,172523825.86933768,172923054.82226583
162947629.30546096,173036369.16384646,172841430.8617507,172923054.82226583
168681271.6612009,173036369.16384646,172912365.00629777,172923054.82226583
151934447.4041417,173148771.12649146,172706254.01820058,172923054.82226583
172923054.82226583,173148771.12649146,173002347.4900042,173036369.16384646
140835164.450559,173148771.12649146,172611205.23955727,173036369.16384646
158233226.5093638,173148771.12649146,172897519.13658565,173036369.16384646
173036369.16384646,173148771.12649146,173053229.45824322,173036369.16384646
160389483.17131808,173148771.12649146,172873637.75857747,173036369.16384646
171886302.50856915,173148771.12649146,173055217.02720785,173036369.16384646
161983553.75125536,173148771.12649146,172977545.91253725,173036369.16384646
173036369.16384646,173148771.12649146,173110554.45919216,173148771.12649146
166793186.82001403,173148771.12649146,173019059.98608574,173148771.12649146
148239331.8816558,173148771.12649146,172785230.62246734,173148771.12649146
146582077.5753745,173148771.12649146,172792839.4813109,173148771.12649146
159204765.5027611,173148771.12649146,173009331.07025415,173148771.12649146
159204765.5027611,173148771.12649146,172971096.37489596,173148771.12649146
169325301.59067354,173148771.12649146,173110536.43113327,173148771.12649146
161840923.2649143,173148771.12649146,172990923.7330132,173148771.12649146
169348843.99426404,173148771.12649146,173109359.20847833,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
144481200.11572063,173148771.12649146,172862095.41638374,173148771.12649146
168234323.63456544,173148771.12649146,173099626.6515722,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
160934703.82426205,173148771.12649146,172948500.86235654,173148771.12649146
163909145.01386932,173148771.12649146,173056374.86536524,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
173148771.12649146,173148771.12649146,173148771.12649146,173148771.12649146
148129147.16689065,173148771.12649146,172898574.88689545,173148771.12649146
148129147.16689065,173148771.12649146,172898574.88689545,173148771.12649146
160757518.60840753,173148771.12649146,173009963.17833576,173148771.12649146
158721497.85722455,173148771.12649146,172880585.86861795,173148771.12649146
164740163.2489601,173148771.12649146,173034294.72051212,173148771.12649146
173148771.12649146,173201839.16678897,173149301.80689442,173148771.12649146
173148771.12649146,173312778.97338256,173150411.20496038,173148771.12649146
169963584.3701882,173312778.97338256,173121839.49433514,173148771.12649146
169963584.3701882,173312778.97338256,173093267.78370994,173148771.12649146
164501778.14218923,173312778.97338256,173080464.01634988,173148771.12649146
164501778.14218923,173312778.97338256,173093298.94723344,173148771.12649146
171972146.51148054,173312778.97338256,173197050.23845783,173148771.12649146
153311016.23741952,173312778.97338256,173028357.84233183,173148771.12649146
173148771.12649146,173312778.97338256,173259536.96060076,173312778.97338256
173148771.12649146,173312778.97338256,173287418.29457226,173312778.97338256
173148771.12649146,173312778.97338256,173307979.81289148,173312778.97338256
173236828.79571912,173312778.97338256,173312019.47160593,173312778.97338256
173312778.97338256,173312778.97338256,173312778.97338256,173312778.97338256
173312778.97338256,173312778.97338256,173312778.97338256,173312778.97338256
168677636.6493304,173312778.97338256,173193893.98764244,173312778.97338256
173312778.97338256,173312778.97338256,173312778.97338256,173312778.97338256
173312778.97338256,173312778.97338256,173312778.97338256,173312778.97338256
167644998.93684253,173312778.97338256,173238777.0517301,173312778.97338256
170954312.60636958,173312778.97338256,173289194.30971244,173312778.97338256
170954312.60636958,173312778.97338256,173289194.30971244,173312778.97338256
167047694.62467054,173617675.98284546,173253177.09999007,173312778.97338256
156540737.9259778,173617675.98284546,173091554.62970528,173312778.97338256
171991134.68847182,173617675.98284546,173311758.41091198,173312778.97338256
173312778.97338256,173617675.98284546,173328023.8238557,173312778.97338256
155157216.27758434,173617675.98284546,173028822.2741737,173312778.97338256
152517821.04103157,173617675.98284546,172996564.77847645,173312778.97338256
152517821.04103157,173617675.98284546,173171906.73614088,173312778.97338256
173312778.97338256,173617675.98284546,173422541.8967892,173312778.97338256
173312778.97338256,173617675.98284546,173474374.3883979,173617675.98284546
170899393.93195373,173617675.98284546,173472024.58214948,173617675.98284546
159400873.53635505,173617675.98284546,173411479.58639336,173617675.98284546
157266117.83172107,173617675.98284546,173429768.64057717,173617675.98284546
169167405.38903037,173617675.98284546,173496181.71881396,173617675.98284546
169167405.38903037,173619789.44985858,173511490.68080226,173617675.98284546
141776007.59604716,173703961.9599429,173174832.04025662,173617675.98284546
167510939.72544983,173703961.9599429,173559401.08939525,173617675.98284546
163651918.28770605,173703961.9599429,173459920.74311972,173617675.98284546
173617675.98284546,173703961.9599429,173620693.4764502,173617675.98284546
173617675.98284546,173703961.9599429,173624475.61336574,173617675.98284546
173617675.98284546,173703961.9599429,173627500.56386095,173617675.98284546
166649382.35633764,173703961.9599429,173545483.0983185,173619789.44985858
171218868.2346122,173703961.9599429,173633384.3062342,173625757.00637454
171218868.2346122,173703961.9599429,173650247.39981169,173703961.9599429
148070694.7933196,173703961.9599429,173421601.1686446,173703961.9599429
173619789.44985858,173703961.9599429,173698427.93762797,173703961.9599429
173558655.47631487,173703961.9599429,173700103.0709344,173703961.9599429
166966772.62787893,173703961.9599429,173620245.79091218,173703961.9599429
142635312.3675236,173703961.9599429,173392433.73891786,173703961.9599429
142635312.3675236,173703961.9599429,173393275.4640187,173703961.9599429
157108785.36976206,173703961.9599429,173391078.38783684,173703961.9599429
162895034.97933117,173703961.9599429,173467348.34057754,173703961.9599429
155157570.7394257,173703961.9599429,173477869.37448484,173703961.9599429
172348461.07996282,173703961.9599429,173688908.3385615,173703961.9599429
173703961.9599429,173707679.4293646,173703999.13463712,173703961.9599429
173703961.9599429,173707679.4293646,173704036.30933133,173703961.9599429
160697944.25777844,173707679.4293646,173574013.30700392,173703961.9599429
156195877.7374626,173707679.4293646,173400468.12797788,173703961.9599429
162602382.1800185,173707679.4293646,173553178.66417736,173703961.9599429
173703961.9599429,173707679.4293646,173704110.65871978,173703961.9599429
173703961.9599429,173707679.4293646,173704185.0081082,173703961.9599429
171106619.91973403,173707679.4293646,173678360.286483,173703961.9599429
173703961.9599429,173707679.4293646,173704742.62852147,173703961.9599429
161685887.07338598,173707679.4293646,173585156.67476335,173703961.9599429
153144525.04900727,173707679.4293646,173488725.36728886,173703961.9599429
157451745.12178972,173707679.4293646,173369247.35581058,173707679.4293646
156246969.45744935,173707679.4293646,173321263.6429515,173707679.4293646
165098296.85719392,173707679.4293646,173563922.4489882,173707679.4293646
159090514.51517114,173707679.4293646,173561507.78022265,173707679.4293646
171699888.01217315,173707679.4293646,173687601.5151927,173707679.4293646
173707679.4293646,173707679.4293646,173707679.4293646,173707679.4293646
148803941.24147913,173707679.4293646,173458642.04748574,173707679.4293646
161586512.1633512,173738349.86103845,173586774.46102118,173707679.4293646
170716605.55547276,173738349.86103845,173679302.21220937,173707679.4293646
154564898.65794715,173738349.86103845,173461007.28270796,173707679.4293646
168092173.00583008,173738349.86103845,173654311.62745893,173707679.4293646
173707679.4293646,173738349.86103845,173712613.62191147,173707679.4293646
173707679.4293646,173738349.86103845,173714760.55212864,173707679.4293646
173707679.4293646,173738349.86103845,173718134.29961276,173707679.4293646
154188496.6799916,173738349.86103845,173405742.78996375,173707679.4293646
159290181.85010245,173738349.86103845,173584863.95934486,173738349.86103845
159836381.1859072,173738349.86103845,173596263.13111976,173738349.86103845
173707679.4293646,173738349.86103845,173738043.1567217,173738349.86103845
173738349.86103845,173738349.86103845,173738349.86103845,173738349.86103845
