Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,61.33458495140076,0.2044486165046692,23961365.156080972,31409517.056474023,7448151.90039305,30282919.860509045,31048622.008283358,0.0
2,61.81899857521057,0.20606332858403523,23639061.453117672,31579298.513619274,7940237.060501602,30546196.168735944,31176947.773873687,0.0
3,62.11594080924988,0.20705313603083292,23522333.06224041,31229009.567450076,7706676.505209666,30139491.988426495,30853384.454866223,0.0
