Fitness Minimum,Fitness Max,Fitness Mean,Fitness Median
23961365.156080972,26776332.283959303,25074858.83190279,25021167.693709455
24020052.54466587,26862779.866933238,25387576.380085904,25386980.97675489
24473116.73210278,26890211.38003277,25500040.733474102,25387881.904109947
24171259.421448033,26876607.37067642,25594404.82223834,25608932.21517694
24250773.586291257,26654691.4666474,25638544.968301624,25578353.21657923
24094511.661941934,26869807.771059718,25758292.76981369,25818076.62011341
24099002.54267815,26970895.400057625,25673879.522766273,25692028.30567417
24731935.842090823,26970895.400057625,25766830.919800106,25793274.739482243
24451282.82515038,26825838.57709167,25805783.49223493,25804920.315359928
24850265.93953901,27184699.855542824,25861131.28432403,25895935.485176153
24729204.163576625,27059304.263031483,25843773.982291184,25863776.43128181
24392257.481496524,27305074.11328628,25919764.45976985,25899671.538798936
24738873.085847124,27015403.153547436,25892279.958252314,25941253.576418597
24900902.562683266,27353206.779302865,26026730.80904416,26029610.267053492
24859283.190385323,27100975.710594505,26036706.671099026,26016576.626396537
24630417.1906032,27193849.42574809,26129921.047176894,26146537.23419591
24947886.908359207,27461743.9868077,26166953.49619621,26213322.158086516
24947886.908359207,27576105.43716976,26316722.448329497,26345388.13647372
25363064.114822883,27266516.72597335,26322466.996778086,26328411.570632566
25525890.311705288,27901093.35960491,26438307.455117796,26462183.881365836
25531541.024499107,27712771.896156453,26543449.358794525,26560430.085250333
25579437.765447255,27601109.679430846,26535913.335474636,26520872.976305954
25481364.445717715,27757214.240507063,26498418.901169147,26480984.385227248
25527472.997167878,27757214.240507063,26598986.32441341,26560354.445563883
25289908.648060516,27751132.86757315,26633820.83729214,26696306.798476525
25074465.53716436,27889999.63331788,26683694.12869176,26694709.557508737
25495728.7375535,27831077.44338315,26729941.960087843,26754406.11201915
25565542.07882371,27740578.0910188,26899499.851566397,26933878.31459491
25549383.856886327,27798121.478841733,26924064.30298267,26959987.104370914
25987978.078777697,28139483.145456795,27000250.06194501,26979764.002943665
25505830.10966649,27924708.312459268,27049679.002290986,27067673.685293235
25993200.87301375,28227028.07360829,27171566.87358394,27211786.615869325
26098769.655024484,28051895.63671662,27170728.093101114,27164909.220795825
26188625.78389393,28392885.251534037,27269276.204863235,27354140.67491672
26015558.8214124,28114751.478302747,27283909.624381352,27347833.856618423
26244776.972876478,28694720.999303352,27325466.35863303,27374683.099291578
25732999.55068018,28240608.961023666,27422188.873619426,27421180.10321808
26196542.023449507,28357593.36308086,27509389.861509033,27515527.614746384
25714089.94190526,28548801.757312294,27622373.745333854,27678878.90177805
26657527.286042985,28886484.552761678,27833000.249921314,27905170.427208614
26932440.503324278,28666480.10949814,27981975.815079574,28004942.197519824
27498133.869700164,28907957.67855032,28165136.44737826,28139314.379364565
27529101.041874874,28950103.486286376,28228573.891850837,28205853.64132663
26386499.16294188,29315784.0104941,28372833.503004637,28424307.6129646
27258684.184546422,29525331.360723972,28496678.643412925,28500700.302425742
27369250.54036072,29551543.92990914,28583563.257488046,28617210.976337016
27479470.995144166,29440353.4241054,28680477.655774225,28687092.835663483
27479470.995144166,29600178.43142031,28792270.284205128,28802924.674340837
28138975.34985327,29520131.707678862,28914130.76097373,28919653.387046613
28202675.7819507,29570641.217967473,29007601.285873275,28987692.803921174
27832549.04940874,29742042.582314514,29085731.439110056,29106131.389121443
27965927.831119187,29777364.077449054,29176258.878909316,29196901.841499243
28303567.130731054,29940361.049611486,29299567.490241118,29284292.553636868
28303567.130731054,29940361.049611486,29387877.647303786,29411908.9416738
27995425.80381766,30066925.172159553,29394763.240252968,29444137.80801432
28264597.647042315,30317845.422142677,29524644.42592298,29574670.939867266
28363272.567273702,30317845.422142677,29610131.162326712,29622355.39139206
26279706.358727023,30355056.04837509,29681207.823265336,29724524.816705443
27771364.26748224,30443206.071584333,29756235.87288931,29765225.321423948
28032912.24624531,30470440.535270914,29854230.399512034,29854888.377103418
28421902.681076232,30470440.535270914,29958545.45371681,29895582.98895585
29349458.162813857,30470440.535270914,30029152.92126862,29992837.356310785
29641562.705045316,30470440.535270914,30165310.498686418,30096296.037756946
29419462.54591231,30470440.535270914,30233992.384832803,30307131.2076189
27149289.431251228,30573391.439812712,30284981.960236896,30355056.04837509
30040658.238323472,30670925.44797934,30380658.333104305,30374377.033203825
28930704.863975026,30670925.44797934,30378046.28730414,30470440.535270914
29229110.017688468,30670925.44797934,30411781.656708494,30470440.535270914
29289353.433590397,30670925.44797934,30467746.919261117,30470440.535270914
30196063.67932146,30670925.44797934,30500659.062236812,30470440.535270914
30196063.67932146,30670925.44797934,30521795.74731611,30573391.439812712
30196063.67932146,30676190.524099056,30534727.990843713,30573391.439812712
30162048.12602009,30676190.524099056,30556834.226853922,30573391.439812712
30162048.12602009,30676190.524099056,30574996.33944666,30573391.439812712
30454441.820162877,30823356.226043865,30590596.75056523,30573391.439812712
28487320.584441453,30823356.226043865,30576548.404905774,30573391.439812712
29514030.07924927,30823356.226043865,30599964.868601214,30581336.238892935
29485747.30477074,30823356.226043865,30629961.49499924,30628763.381495997
29507623.515989147,30823356.226043865,30714889.741845448,30823356.226043865
29565418.80536777,30851712.28126048,30738678.104277126,30823356.226043865
29690128.09878918,30851278.87198919,30782270.32922979,30823356.226043865
30581336.238892935,30851278.87198919,30821335.07616541,30823356.226043865
29707991.423909184,30851278.87198919,30806009.674315255,30823356.226043865
27180688.518438734,30851278.87198919,30791729.051071428,30823356.226043865
28598911.954522602,30851278.87198919,30814997.581579134,30851278.87198919
28571820.44719437,30851278.87198919,30802416.275163062,30851278.87198919
27475947.872878756,30916483.17439195,30799223.97620817,30851278.87198919
30597746.99468432,30916483.17439195,30847999.463942904,30851278.87198919
30823356.226043865,30916483.17439195,30852007.48190013,30851278.87198919
29150797.118496373,30916483.17439195,30834646.87101884,30851278.87198919
28017112.817716565,30916483.17439195,30823589.254470494,30851278.87198919
30490277.267520297,30851278.87198919,30847668.855944503,30851278.87198919
30851278.87198919,30851278.87198919,30851278.87198919,30851278.87198919
29108967.44433601,30851278.87198919,30829860.063314207,30851278.87198919
28796688.100977443,30851278.87198919,30814899.51139656,30851278.87198919
28717522.35617906,30851278.87198919,30824430.080485497,30851278.87198919
30300156.237429768,30851278.87198919,30831189.02801993,30851278.87198919
28885835.567378547,30851278.87198919,30813632.831745107,30851278.87198919
29052118.15219146,30851278.87198919,30818159.26615934,30851278.87198919
29052118.15219146,30851278.87198919,30831122.582455482,30851278.87198919
27758264.215598114,30851278.87198919,30818184.04308955,30851278.87198919
29869195.292119883,30851278.87198919,30841458.0361905,30851278.87198919
30137053.71074647,30851278.87198919,30838116.642461985,30851278.87198919
30095120.591070473,30851278.87198919,30843717.289180003,30851278.87198919
30647282.942373637,30909759.460438967,30849823.718577534,30851278.87198919
30186841.778647274,30909759.460438967,30846748.19637129,30851278.87198919
28689391.529765844,30909759.460438967,30821281.668975797,30851278.87198919
30227631.261749253,30909759.460438967,30847966.42530928,30851278.87198919
28908483.988562923,30909759.460438967,30840623.011422396,30851278.87198919
29230343.7205726,30909759.460438967,30850859.279356465,30851278.87198919
30851278.87198919,30909759.460438967,30878179.942676086,30851278.87198919
30105520.009431712,30909759.460438967,30881833.66585597,30909759.460438967
