Run #,Total Run Time (s),Avg. run time per iteration (s),Fitness Minimum,Fitness Max,Fitness Range,Fitness Mean,Fitness Median,Fitness Improvement Likelihood %
1,114.85589003562927,0.3828529667854309,116130790.6702564,171677079.48784736,55546288.81759095,164329789.7246303,169875932.9863931,0.0
2,115.57475352287292,0.3852491784095764,116943770.98368515,173405462.7610433,56461691.77735816,165748574.60656187,172248157.9020027,0.0
3,142.4525249004364,0.4748417496681213,116759778.09147394,172319407.34531614,55559629.253842205,164445376.4748547,170920057.18749586,0.0
