Success,Search Steps,Search Time
False,1000,0.0005040168762207031
True,7,0.0010025501251220703
False,1000,0.0010025501251220703
True,5,0.00048828125
False,1000,0.0005021095275878906
False,1000,0.001504659652709961
True,7,0.0005011558532714844
False,1000,0.0005011558532714844
False,1000,0.0005016326904296875
False,1000,0.0010023117065429688
True,7,0.0010080337524414062
True,7,0.0004680156707763672
False,1000,0.0010027885437011719
True,7,0.0009961128234863281
False,1000,0.0005078315734863281
False,1000,0.0004677772521972656
False,1000,0.0010328292846679688
True,6,0.0005006790161132812
False,1000,0.0005018711090087891
True,6,0.0010025501251220703
True,7,0.0010027885437011719
False,1000,0.0004706382751464844
True,7,0.0005047321319580078
False,1000,0.001003265380859375
False,1000,0.0005013942718505859
True,7,0.001003265380859375
True,8,0.001003265380859375
True,5,0.0009918212890625
True,5,0.0010018348693847656
True,6,0.0005009174346923828
True,5,0.0010044574737548828
True,7,0.0010030269622802734
False,1000,0.001096487045288086
True,6,0.0005016326904296875
False,1000,0.0005068778991699219
True,2,0.0004992485046386719
True,7,0.0005023479461669922
True,4,0.0010004043579101562
False,1000,0.0015141963958740234
False,1000,0.0005009174346923828
False,1000,0.0010025501251220703
True,6,0.0010111331939697266
True,7,0.0010309219360351562
True,7,0.0010037422180175781
True,9,0.0005030632019042969
False,1000,0.00046825408935546875
False,1000,0.0005011558532714844
False,1000,0.0005013942718505859
True,6,0.0005002021789550781
True,4,0.0009875297546386719
True,6,0.00047397613525390625
False,1000,0.0010027885437011719
True,7,0.0005373954772949219
False,1000,0.0005352497100830078
False,1000,0.0010025501251220703
False,1000,0.0010023117065429688
False,1000,0.0010068416595458984
True,6,0.0009710788726806641
False,1000,0.00047850608825683594
False,1000,0.0004930496215820312
True,5,0.0014979839324951172
True,7,0.0025069713592529297
False,1000,0.0005011558532714844
True,8,0.0010149478912353516
True,6,0.0005035400390625
False,1000,0.0005016326904296875
False,1000,0.0005016326904296875
True,8,0.000499725341796875
True,5,0.0005016326904296875
True,6,0.0005009174346923828
False,1000,0.0005342960357666016
True,8,0.0010039806365966797
True,7,0.0005016326904296875
True,5,0.0010027885437011719
True,5,0.0005013942718505859
True,9,0.0009989738464355469
True,8,0.0004832744598388672
False,1000,0.0004982948303222656
True,6,0.0010023117065429688
False,1000,0.0010020732879638672
False,1000,0.0010020732879638672
True,9,0.0010030269622802734
False,1000,0.0005109310150146484
True,7,0.001003265380859375
False,1000,0.0004985332489013672
True,6,0.0009963512420654297
True,9,0.001001596450805664
True,5,0.0010340213775634766
True,5,0.0009765625
True,7,0.0010027885437011719
True,7,0.0005009174346923828
False,1000,0.0005018711090087891
True,5,0.0010023117065429688
False,1000,0.0005016326904296875
False,1000,0.0005016326904296875
False,1000,0.0005047321319580078
True,7,0.0004999637603759766
True,3,0.0010190010070800781
False,1000,0.0015037059783935547
False,1000,0.0010030269622802734
