Success,Search Steps,Search Time
True,10,0.0010035037994384766
True,23,0.0010025501251220703
True,15,0.0010328292846679688
True,16,0.0010030269622802734
True,22,0.0010027885437011719
True,19,0.0010025501251220703
True,18,0.0005013942718505859
True,7,0.0005033016204833984
True,26,0.0004990100860595703
True,25,0.0005009174346923828
True,17,0.0010030269622802734
True,27,0.0010023117065429688
True,7,0.0005013942718505859
True,12,0.0005011558532714844
True,18,0.001004934310913086
True,10,0.0010023117065429688
True,11,0.0005013942718505859
True,11,0.0010025501251220703
True,14,0.0010025501251220703
True,9,0.0004889965057373047
True,5,0.0005009174346923828
True,14,0.0010030269622802734
True,12,0.0005006790161132812
True,24,0.0010044574737548828
True,7,0.0009984970092773438
True,5,0.0005204677581787109
True,11,0.001020193099975586
True,15,0.0009856224060058594
True,12,0.0005016326904296875
True,31,0.0010027885437011719
True,8,0.0010018348693847656
True,8,0.0010025501251220703
True,15,0.0005292892456054688
True,16,0.0010006427764892578
True,7,0.0010025501251220703
True,8,0.0009708404541015625
True,30,0.0010035037994384766
True,16,0.001035928726196289
True,13,0.0010023117065429688
True,33,0.0004715919494628906
True,18,0.001035451889038086
True,5,0.0004994869232177734
True,14,0.0010325908660888672
True,10,0.0010023117065429688
True,12,0.0005013942718505859
True,9,0.0010025501251220703
True,49,0.0010018348693847656
True,6,0.0005016326904296875
True,9,0.0010025501251220703
True,10,0.0005013942718505859
True,10,0.0014967918395996094
True,15,0.0010013580322265625
True,10,0.001003265380859375
True,13,0.0005013942718505859
True,11,0.0010027885437011719
True,26,0.001003265380859375
True,10,0.0005011558532714844
True,26,0.0005040168762207031
True,13,0.0004832744598388672
True,16,0.0010209083557128906
True,20,0.000980377197265625
True,8,0.0005025863647460938
True,11,0.001035928726196289
True,15,0.0005345344543457031
True,3,0.000972747802734375
True,10,0.001001596450805664
True,25,0.0005292892456054688
True,17,0.0010013580322265625
True,8,0.0005013942718505859
True,19,0.0005011558532714844
True,21,0.0005011558532714844
True,12,0.0005047321319580078
True,7,0.0004754066467285156
True,7,0.0010061264038085938
True,16,0.0010030269622802734
True,19,0.0009725093841552734
True,21,0.0010044574737548828
True,21,0.0005273818969726562
True,12,0.0010001659393310547
True,10,0.0010030269622802734
True,12,0.0010030269622802734
True,6,0.0010192394256591797
True,8,0.0004999637603759766
True,9,0.0005013942718505859
True,12,0.0010018348693847656
True,18,0.0010061264038085938
True,7,0.0010023117065429688
True,25,0.0004944801330566406
True,12,0.0010082721710205078
True,12,0.000484466552734375
True,29,0.000989675521850586
True,18,0.0030083656311035156
True,37,0.001001596450805664
True,14,0.0015044212341308594
True,22,0.0005018711090087891
True,13,0.0005009174346923828
True,11,0.0014717578887939453
True,7,0.0010068416595458984
True,16,0.0010025501251220703
True,26,0.0004942417144775391
