Success,Search Steps,Search Time,Unsat Clauses
True,257,0.024085521697998047,0
True,180,0.018549442291259766,0
True,103,0.008522510528564453,0
True,410,0.03509521484375,0
True,133,0.01005244255065918,0
True,191,0.016542673110961914,0
True,38,0.0030069351196289062,0
True,127,0.009554624557495117,0
True,36,0.003008127212524414,0
True,355,0.027598142623901367,0
True,122,0.009548187255859375,0
True,144,0.013034582138061523,0
True,128,0.010549068450927734,0
True,432,0.03360557556152344,0
True,236,0.020554304122924805,0
True,375,0.03208565711975098,0
True,114,0.008508443832397461,0
True,122,0.009523630142211914,0
True,174,0.012056589126586914,0
True,246,0.018047332763671875,0
True,209,0.017078161239624023,0
True,214,0.015535354614257812,0
True,274,0.021078109741210938,0
True,138,0.010079145431518555,0
True,1234,0.094757080078125,0
True,64,0.004016399383544922,0
True,85,0.006015300750732422,0
True,82,0.005513906478881836,0
True,149,0.011028766632080078,0
True,55,0.0035114288330078125,0
True,115,0.008518457412719727,0
True,232,0.0175626277923584,0
True,80,0.005513668060302734,0
True,301,0.027070283889770508,0
True,113,0.00801706314086914,0
True,175,0.012564897537231445,0
True,19,0.0015032291412353516,0
True,517,0.037600040435791016,0
True,100,0.00702667236328125,0
True,54,0.004018545150756836,0
True,394,0.027071475982666016,0
True,71,0.0050432682037353516,0
True,325,0.02456808090209961,0
True,352,0.029578685760498047,0
True,261,0.02152562141418457,0
True,303,0.022525787353515625,0
True,290,0.02255725860595703,0
True,19,0.0010025501251220703,0
True,462,0.034590959548950195,0
True,90,0.007018566131591797,0
True,38,0.002505779266357422,0
True,177,0.012566566467285156,0
True,349,0.024563074111938477,0
True,47,0.003511667251586914,0
True,752,0.056618690490722656,0
True,111,0.00751948356628418,0
True,19,0.0010018348693847656,0
True,987,0.07421278953552246,0
True,286,0.022548675537109375,0
True,59,0.004045963287353516,0
True,485,0.03960466384887695,0
True,62,0.0060160160064697266,0
True,250,0.019082307815551758,0
True,1064,0.08823394775390625,0
True,928,0.07721090316772461,0
True,70,0.005010366439819336,0
True,281,0.02155900001525879,0
True,19,0.0015032291412353516,0
True,470,0.03361988067626953,0
True,177,0.014059305191040039,0
True,392,0.02907705307006836,0
True,523,0.041610002517700195,0
True,202,0.015571117401123047,0
True,458,0.03759908676147461,0
True,655,0.05263924598693848,0
True,1314,0.1042776107788086,0
True,229,0.0170443058013916,0
True,86,0.006018877029418945,0
True,91,0.007018089294433594,0
True,453,0.038556575775146484,0
True,140,0.013041496276855469,0
True,80,0.007524728775024414,0
True,157,0.016561031341552734,0
True,139,0.011529684066772461,0
True,195,0.01655721664428711,0
True,657,0.061663150787353516,0
True,149,0.016042232513427734,0
True,551,0.047124385833740234,0
True,794,0.06871509552001953,0
True,35,0.0020363330841064453,0
True,69,0.005046367645263672,0
True,41,0.004010200500488281,0
True,391,0.041109323501586914,0
True,97,0.012030839920043945,0
True,314,0.026570796966552734,0
True,841,0.06770515441894531,0
True,60,0.004040241241455078,0
True,226,0.0170438289642334,0
True,192,0.016542911529541016,0
True,98,0.008051872253417969,0
